DateTime,AddedIPs,RemovedIPs
1538324642,89,31
1538325605,31,45
1538325724,14,22
1538326325,28,0
1538326978,24,7
1538327525,29,37
1538328124,17,29
1538329324,19,36
1538330418,73,23
1538330525,23,15
1538331362,21,152
1538331724,14,39
1538332324,85,0
1538332924,13,11
1538334179,33,13
1538335325,10,17
1538335923,15,0
1538336524,19,5
1538338083,103,28
1538338326,30,0
1538339042,8,143
1538339524,10,4
1538340003,83,0
1538340123,16,1
1538340724,15,7
1538341377,24,38
1538341924,12,0
1538342523,20,5
1538343843,99,26
1538344924,15,7
1538345763,0,183
1538346125,20,7
1538347324,15,24
1538347924,13,0
1538348577,23,9
1538349603,60,0
1538349724,17,0
1538350324,15,15
1538350924,10,24
1538351523,125,108
1538352178,7,6
1538352724,7,0
1538353324,19,17
1538354524,9,13
1538355363,50,190
1538355775,9,10
1538356324,17,14
1538356924,27,14
1538357524,7,0
1538358125,15,55
1538358723,9,7
1538359213,96,0
1538359325,19,10
1538360163,10,97
1538360523,13,19
1538361124,79,23
1538361723,6,0
1538362324,3,21
1538362977,11,14
1538364124,7,55
1538364723,11,0
1538364962,87,6
1538365324,9,20
1538365924,16,106
1538366577,8,37
1538367124,22,32
1538368083,25,132
1538368803,98,0
1538368923,4,8
1538370124,12,40
1538370725,6,8
1538371325,18,2
1538371923,15,12
1538372884,125,42
1538373123,6,0
1538373777,16,4
1538374324,12,17
1538374806,0,134
1538374924,26,31
1538375524,19,7
1538376124,20,14
1538376723,81,0
1538377379,32,30
1538377924,18,12
1538378643,89,67
1538379724,14,32
1538380323,17,14
1538380977,11,8
1538382125,15,45
1538382483,76,59
1538382724,25,16
1538383324,26,17
1538383924,5,0
1538384416,0,53
1538384575,18,7
1538385124,13,0
1538385724,15,17
1538386923,12,11
1538388242,117,16
1538389203,0,55
1538389324,18,17
1538390162,78,7
1538390524,23,20
1538392082,58,55
1538392324,10,0
1538392923,19,0
1538394026,83880,5511
1538394124,7,1
1538394963,3,110
1538395379,7,2
1538395925,1,0
1538396524,7,0
1538397724,2,0
1538398082,75,0
1538398977,2,2
1538400124,4,0
1538400963,15,60
1538401922,67,0
1538402579,4,0
1538403124,5,0
1538403842,71,16
1538404323,2,0
1538404924,13,0
1538405524,7,0
1538406177,1,1
1538406726,2,111
1538407324,1,0
1538407922,85,0
1538408524,6,0
1538409778,5,2
1538410325,1,0
1538410923,2,0
1538411523,3,2
1538412002,89,15
1538412124,6,0
1538412726,1,0
1538413377,5,0
1538414403,0,120
1538414524,4,2
1538415124,4,0
1538415848,103,0
1538417097,1,0
1538417525,7,0
1538418124,3,0
1538418724,4,0
1538419686,99,25
1538420163,2,113
1538420579,2,2
1538421724,14,0
1538422324,11,1
1538423525,100,0
1538424176,5,2
1538424726,10,0
1538425324,3,0
1538426524,4,0
1538427124,6,0
1538427776,4,2
1538428324,3,0
1538428924,2,0
1538429523,115,44
1538430003,42,146
1538430125,3,0
1538430724,3,0
1538431377,1,3
1538432524,13,0
1538433363,54,22
1538433843,2,221
1538435283,91,1
1538436123,2,0
1538436725,4,0
1538437325,17,0
1538437924,8,0
1538438576,4,0
1538439724,4,0
1538441044,86,16
1538441524,19,107
1538442179,9,1
1538442725,3,0
1538443442,9,88
1538443924,9,0
1538444523,5,0
1538444882,80,0
1538445777,3,1
1538446324,3,0
1538446924,1,0
1538447283,0,68
1538448123,7,0
1538448722,68,0
1538449376,12,0
1538449924,17,0
1538450524,4,0
1538451125,9,0
1538451723,3,0
1538452563,93,10
1538452978,1,1
1538454003,0,196
1538454124,4,0
1538454724,2,0
1538455324,43,0
1538455924,1,0
1538456414,82,0
1538456637,12,0
1538457724,1,0
1538458924,3,2
1538459763,87,76
1538460242,4,74
1538460724,4,2
1538461324,14,1
1538462162,85,0
1538462524,3,0
1538463123,1,0
1538463777,1,1
1538464324,3,0
1538464923,31,0
1538465763,0,68
1538466244,84,1
1538467324,1,0
1538467924,25,2
1538468526,12,0
1538469125,27,1
1538469844,87,56
1538470324,10,75
1538470978,6,1
1538471524,3,0
1538472124,2,0
1538473324,21,0
1538474162,77,0
1538474576,17,2
1538475124,3,0
1538476083,66,21
1538476325,1,0
1538476924,1,0
1538477524,19,59
1538478124,12,0
1538479324,3,0
1538479923,83,14
1538481124,5,0
1538481778,15,3
1538482325,9,0
1538482924,26,0
1538483283,0,95
1538483524,3,0
1538484003,85,0
1538484124,1,0
1538484724,1,0
1538485400,7,1
1538485924,78,21
1538486523,8,0
1538487724,7,0
1538488925,3,0
1538489283,0,103
1538489763,91,0
1538490124,6,0
1538491324,3,1
1538492542,8,0
1538493724,6,1
1538494324,7,1
1538495044,10,74
1538495524,2,1
1538496201,3,4
1538496725,2,0
1538497442,81,0
1538497925,3,0
1538498523,12,0
1538499363,75,18
1538499799,2,0
1538500325,3,0
1538500802,0,130
1538500924,5,0
1538501524,6,0
1538502124,5,0
1538503218,113,0
1538503399,11,0
1538503925,9,0
1538504524,7,0
1538505124,84,28
1538505724,5,0
1538506323,7,0
1538507000,0,1
1538507524,1,0
1538508124,3,0
1538508484,0,119
1538508963,124,0
1538509323,13,0
1538509924,3,0
1538510599,6,2
1538511125,1,0
1538511727,4,0
1538512802,76,30
1538512925,9,0
1538513524,11,0
1538514482,7,145
1538514725,5,0
1538515324,7,0
1538516524,22,0
1538516882,64,0
1538517124,4,0
1538517802,21,0
1538518325,1,0
1538518924,7,0
1538520243,18,109
1538521405,3,0
1538521925,7,0
1538522642,82,0
1538523124,0,128
1538523724,6,0
1538524562,108,1
1538525001,8,0
1538526123,3,0
1538527323,7,1
1538527923,0,97
1538528410,59,0
1538528600,3,0
1538529125,5,0
1538529842,3,99
1538530324,74,0
1538531523,1,1
1538532201,10,3
1538533325,12,0
1538533925,9,0
1538534402,75,7
1538534525,12,0
1538535723,20,1
1538535741,1,0
1538536923,0,1
1538537523,1,0
1538538243,68,15
1538538483,15,145
1538538723,6,0
1538539399,22,1
1538540524,7,0
1538541724,3,0
1538542083,97,3
1538542563,4,88
1538542941,10,0
1538543526,3,0
1538544124,9,1
1538544723,3,0
1538545328,14,0
1538546162,107,17
1538546643,4,150
1538547724,1,0
1538548323,2,0
1538548924,9,0
1538549523,8,0
1538550018,63,0
1538550200,0,1
1538550725,9,0
1538551323,4,0
1538551922,71,10
1538552524,4,1
1538553123,10,0
1538553842,90,29
1538554323,27,104
1538554924,5,0
1538555762,5,94
1538556124,9,0
1538557683,98,8
1538558163,5,60
1538558523,5,1
1538559606,67,0
1538559724,3,1
1538560324,6,0
1538561000,1,11
1538562124,4,0
1538563445,61,11
1538563923,3,0
1538564600,5,4
1538565363,57,29
1538565842,32,91
1538566924,5,0
1538567524,4,0
1538568202,3,3
1538569453,64,15
1538569925,5,0
1538570524,7,0
1538571124,1,0
1538571741,5,4
1538572923,3,0
1538574483,0,116
1538575205,78,0
1538575325,8,0
1538575400,0,6
1538575924,1,0
1538576524,6,0
1538577124,83,16
1538577724,1,0
1538578322,0,108
1538579001,6,2
1538580125,2,0
1538580963,82,1
1538581324,2,0
1538581924,7,0
1538582600,8,2
1538583363,1,66
1538583724,3,0
1538584324,1,0
1538584802,110,0
1538584924,4,1
1538585526,4,0
1538586200,3,1
1538586724,3,0
1538587323,4,0
1538587924,3,1
1538588643,88,23
1538589123,23,67
1538589741,5,2
1538590324,9,0
1538590924,3,0
