DateTime,Entries,UniqueIPs
1538324642,522216,555355
1538325605,522202,555341
1538325724,522195,555333
1538326325,522222,555361
1538326978,522239,555378
1538327525,522237,555370
1538328124,522229,555358
1538329324,522216,555341
1538330418,522266,555391
1538330525,522275,555399
1538331362,522145,555268
1538331724,522124,555243
1538332324,522209,555328
1538332924,522210,555330
1538334179,522228,555350
1538335325,522224,555343
1538335923,522237,555358
1538336524,522245,555372
1538338083,522319,555447
1538338326,522346,555477
1538339042,522211,555342
1538339524,522218,555348
1538340003,522300,555431
1538340123,522315,555446
1538340724,522324,555454
1538341377,522307,555440
1538341924,522319,555452
1538342523,522335,555467
1538343843,522406,555540
1538344924,522415,555548
1538345763,522232,555365
1538346125,522246,555378
1538347324,522236,555369
1538347924,522247,555382
1538348577,522259,555396
1538349603,522318,555456
1538349724,522335,555473
1538350324,522340,555473
1538350924,522322,555459
1538351523,522339,555476
1538352178,522341,555477
1538352724,522348,555484
1538353324,522352,555486
1538354524,522348,555482
1538355363,522208,555342
1538355775,522207,555341
1538356324,522210,555344
1538356924,522221,555357
1538357524,522228,555364
1538358125,522194,555324
1538358723,522199,555326
1538359213,522295,555422
1538359325,522303,555431
1538360163,522219,555344
1538360523,522213,555338
1538361124,522273,555394
1538361723,522279,555400
1538362324,522262,555382
1538362977,522259,555379
1538364124,522220,555331
1538364723,522230,555342
1538364962,522311,555423
1538365324,522301,555412
1538365924,522210,555322
1538366577,522184,555293
1538367124,522177,555283
1538368083,522069,555176
1538368803,522166,555274
1538368923,522162,555270
1538370124,522138,555242
1538370725,522137,555240
1538371325,522151,555256
1538371923,522151,555259
1538372884,522238,555342
1538373123,522244,555348
1538373777,522256,555360
1538374324,522252,555355
1538374806,522118,555221
1538374924,522115,555216
1538375524,522126,555228
1538376124,522136,555234
1538376723,522217,555315
1538377379,522219,555317
1538377924,522223,555323
1538378643,522242,555345
1538379724,522226,555327
1538380323,522227,555330
1538380977,522233,555333
1538382125,522204,555303
1538382483,522222,555320
1538382724,522231,555329
1538383324,522232,555338
1538383924,522237,555343
1538384416,522184,555290
1538384575,522194,555301
1538385124,522205,555314
1538385724,522204,555312
1538386923,522205,555313
1538388242,522301,555414
1538389203,522246,555359
1538389324,522249,555360
1538390162,522316,555431
1538390524,522319,555434
1538392082,522323,555437
1538392324,522332,555447
1538392923,522345,555466
1538394026,596909,633835
1538394124,596915,633841
1538394963,596808,633734
1538395379,596813,633739
1538395925,596814,633740
1538396524,596821,633747
1538397724,596823,633749
1538398082,596897,633824
1538398977,596897,633824
1538400124,596901,633828
1538400963,596855,633783
1538401922,596922,633850
1538402579,596926,633854
1538403124,596930,633859
1538403842,596984,633914
1538404323,596982,633916
1538404924,596992,633929
1538405524,596996,633936
1538406177,596994,633936
1538406726,596887,633827
1538407324,596888,633828
1538407922,596973,633913
1538408524,596978,633919
1538409778,596981,633922
1538410325,596982,633923
1538410923,596983,633925
1538411523,596987,633926
1538412002,597061,634000
1538412124,597067,634006
1538412726,597068,634007
1538413377,597072,634012
1538414403,596952,633892
1538414524,596956,633894
1538415124,596960,633898
1538415848,597063,634001
1538417097,597064,634002
1538417525,597071,634009
1538418124,597072,634012
1538418724,597076,634016
1538419686,597148,634090
1538420163,597038,633979
1538420579,597038,633979
1538421724,597052,633993
1538422324,597059,634003
1538423525,597159,634103
1538424176,597161,634106
1538424726,597171,634116
1538425324,597174,634119
1538426524,597176,634123
1538427124,597182,634129
1538427776,597184,634131
1538428324,597187,634134
1538428924,597189,634136
1538429523,597260,634207
1538430003,597156,634103
1538430125,597159,634106
1538430724,597162,634109
1538431377,597160,634107
1538432524,597173,634120
1538433363,597205,634152
1538433843,596986,633933
1538435283,597076,634023
1538436123,597078,634025
1538436725,597081,634029
1538437325,597098,634046
1538437924,597106,634054
1538438576,597109,634058
1538439724,597113,634062
1538441044,597183,634132
1538441524,597095,634044
