DateTime,AddedIPs,RemovedIPs
1538300853,5,6
1538301373,1,0
1538301574,3,4
1538302293,4,6
1538303012,7,1
1538303317,1,4
1538303735,2,5
1538304453,6,8
1538305247,15,10
1538306135,12,4
1538306853,5,7
1538307382,17,8
1538307574,4,5
1538308292,4,6
1538309314,29,16
1538310213,7,6
1538311234,25,14
1538311448,10,0
1538311893,5,5
1538312613,9,2
1538313136,19,6
1538313333,3,7
1538314054,8,4
1538314773,5,7
1538315057,10,2
1538315493,2,4
1538316213,4,3
1538316993,15,10
1538317894,15,8
1538318613,4,5
1538318895,16,15
1538319333,10,5
1538320053,5,6
1538320831,13,15
1538321735,6,9
1538322770,15,14
1538323653,5,5
1538324662,26,29
1538325572,8,5
1538326089,5,1
1538326535,6,4
1538327493,7,4
1538328213,21,5
1538328489,11,6
1538328933,3,6
1538329653,6,9
1538330441,3,22
1538330853,93,10
1538331573,4,5
1538332293,6,7
1538333013,6,4
1538333735,5,10
1538334262,6,5
1538334453,7,8
1538335175,7,5
1538336189,31,7
1538337094,18,7
1538338121,6,9
1538338534,21,10
1538339254,7,6
1538339974,6,6
1538340988,11,8
1538341952,13,17
1538342613,4,6
1538343332,4,4
1538343851,24,0
1538344053,7,7
1538345254,10,10
1538345783,11,17
1538345973,2,6
1538346692,5,4
1538347414,5,2
1538347692,23,4
1538348135,7,5
1538348854,10,6
1538349634,12,31
1538350294,9,5
1538351014,6,2
1538351533,3,0
1538351733,5,3
1538352454,3,5
1538353471,17,25
1538354373,9,8
1538355094,6,11
1538355369,7,0
1538355605,5,1
1538355813,4,6
1538356533,1,6
1538357309,17,17
1538358214,4,4
1538359240,4,14705
1538360135,14692,2
1538360655,10,105
1538361161,19,6
1538361573,6,9
1538362294,1,4
1538363072,14,2
1538363974,4,6
1538364693,4,2
1538364973,11,0
1538365419,6,4
1538366133,2,8
1538366911,15,15
1538368053,10,5
1538368824,24,5
1538369494,5,6
1538370261,3,6
1538370995,16,20
1538372374,10,12
1538372900,16,19
1538373093,6,5
1538373813,7,7
1538374841,292,28
1538375252,10,11
1538376214,5,7
1538376738,13,13
1538376933,4,6
1538377654,7,5
1538378613,1,5
1538379334,14,6
1538380054,3,15
1538380579,15,24
1538380774,5,5
1538381493,4,4
1538382214,7,6
1538382493,13,13
1538382934,10,11
1538383654,5,10
1538384432,6,9
1538384901,6,1
1538385332,5,11
1538386294,7,8
1538387013,3,1
1538387732,1,5
1538388265,11,30
1538388454,3,8
1538389173,3,4
1538390192,18,13
1538391094,4,8
1538392115,22,15
1538393014,2,9
1538393732,4,6
1538394031,9,0
1538394452,7,6
1538395232,4,3
1538396614,8,7
1538397333,4,3
1538398108,22,20
1538399013,6,9
1538399531,2,1
1538399973,8,8
1538400935,5,7
1538401653,2,2
1538402374,4,2
1538403333,7,5
1538403853,13,43
1538404053,6,10
1538404773,10,8
1538405802,9,14
1538406693,7,7
1538407413,6,6
1538407938,9,18
1538408134,3,1
1538409092,4,12
1538410143,15,21
1538411012,2,8
1538411974,7,6
1538412693,6,6
1538413413,3,7
1538413935,11,27
