DateTime,Entries,UniqueIPs
1538300853,81126,9370400
1538301373,81127,9370401
1538301574,81126,9370400
1538302293,81123,9370398
1538303012,81129,9370404
1538303317,81126,9370401
1538303735,81123,9370398
1538304453,81121,9370396
1538305247,81127,9370401
1538306135,81135,9370409
1538306853,81133,9370407
1538307382,81141,9370416
1538307574,81140,9370415
1538308292,81138,9370413
1538309314,81150,9370426
1538310213,81151,9370427
1538311234,81162,9370438
1538311448,81172,9370448
1538311893,81172,9370448
1538312613,81179,9370455
1538313136,81191,9370468
1538313333,81187,9370464
1538314054,81191,9370468
1538314773,81189,9370466
1538315057,81197,9370474
1538315493,81195,9370472
1538316213,81196,9370473
1538316993,81201,9370478
1538317894,81208,9370485
1538318613,81207,9370484
1538318895,81208,9370485
1538319333,81213,9370490
1538320053,81212,9370489
1538320831,81210,9370487
1538321735,81207,9370484
1538322770,81209,9370485
1538323653,81209,9370485
1538324662,81206,9370482
1538325572,81209,9370485
1538326089,81213,9370489
1538326535,81215,9370491
1538327493,81218,9370494
1538328213,81234,9370510
1538328489,81239,9370515
1538328933,81236,9370512
1538329653,81233,9370509
1538330441,81214,9370490
1538330853,81297,9370573
1538331573,81296,9370572
1538332293,81295,9370571
1538333013,81297,9370573
1538333735,81291,9370568
1538334262,81292,9370569
1538334453,81291,9370568
1538335175,81295,9370570
1538336189,81318,9370594
1538337094,81329,9370605
1538338121,81325,9370602
1538338534,81336,9370613
1538339254,81337,9370614
1538339974,81337,9370614
1538340988,81340,9370617
1538341952,81335,9370613
1538342613,81332,9370611
1538343332,81331,9370611
1538343851,81355,9370635
1538344053,81355,9370635
1538345254,81355,9370635
1538345783,81349,9370629
1538345973,81345,9370625
1538346692,81346,9370626
1538347414,81349,9370629
1538347692,81368,9370648
1538348135,81370,9370650
1538348854,81373,9370654
1538349634,81355,9370635
1538350294,81359,9370639
1538351014,81363,9370643
1538351533,81366,9370646
1538351733,81368,9370648
1538352454,81366,9370646
1538353471,81358,9370638
1538354373,81359,9370639
1538355094,81354,9370634
1538355369,81361,9370641
1538355605,81365,9370645
1538355813,81363,9370643
1538356533,81358,9370638
1538357309,81357,9370638
1538358214,81357,9370638
1538359240,71388,9355937
1538360135,81346,9370627
1538360655,81254,9370532
1538361161,81266,9370545
1538361573,81263,9370542
1538362294,81260,9370539
1538363072,81272,9370551
1538363974,81270,9370549
1538364693,81272,9370551
1538364973,81283,9370562
1538365419,81285,9370564
1538366133,81279,9370558
1538366911,81279,9370558
1538368053,81284,9370563
1538368824,81303,9370582
1538369494,81302,9370581
1538370261,81299,9370578
1538370995,81296,9370574
1538372374,81294,9370572
1538372900,81291,9370569
1538373093,81292,9370570
1538373813,81292,9370570
1538374841,81293,9370834
1538375252,81293,9370833
1538376214,81291,9370831
1538376738,81291,9370831
1538376933,81289,9370829
1538377654,81291,9370831
1538378613,81287,9370827
1538379334,81295,9370835
1538380054,81283,9370823
1538380579,81276,9370814
1538380774,81276,9370814
1538381493,81277,9370814
1538382214,81278,9370815
1538382493,81279,9370815
1538382934,81278,9370814
1538383654,81273,9370809
1538384432,81271,9370806
1538384901,81276,9370811
1538385332,81270,9370805
1538386294,81269,9370804
1538387013,81271,9370806
1538387732,81267,9370802
1538388265,81250,9370783
1538388454,81245,9370778
1538389173,81244,9370777
1538390192,81249,9370782
1538391094,81245,9370778
1538392115,81253,9370785
1538393014,81246,9370778
1538393732,81244,9370776
1538394031,81253,9370785
1538394452,81254,9370786
1538395232,81255,9370787
1538396614,81256,9370788
1538397333,81257,9370789
1538398108,81260,9370791
1538399013,81257,9370788
1538399531,81258,9370789
1538399973,81258,9370789
1538400935,81256,9370787
1538401653,81256,9370787
1538402374,81258,9370789
1538403333,81260,9370791
1538403853,81232,9370761
1538404053,81228,9370757
1538404773,81230,9370759
1538405802,81225,9370754
1538406693,81225,9370754
1538407413,81225,9370754
1538407938,81217,9370745
1538408134,81219,9370747
1538409092,81211,9370739
1538410143,81205,9370733
1538411012,81199,9370727
1538411974,81200,9370728
1538412693,81200,9370728
1538413413,81196,9370724
1538413935,81180,9370708
1538414178,81173,9370701
1538414853,81168,9370696
1538415875,81167,9370694
1538416772,81163,9370690
1538417794,81166,9370693
1538418694,81159,9370686
1538419715,81167,9370694
1538420613,81172,9370698
1538421629,81165,9370690
1538422532,81157,9370682
1538423554,81129,9370655
1538424454,81123,9370649
1538425463,81117,9370643
1538426425,81118,9370644
1538427406,81117,9370643
1538428533,81121,9370647
1538429056,81125,9370651
1538429550,81128,9370653
1538430453,81129,9370653
1538431478,81120,9370644
1538432132,81122,9370646
1538432854,81120,9370644
1538433383,81113,9370637
1538434296,81113,9370637
1538435316,81120,9370644
1538436214,81111,9370634
1538437224,81117,9370640
1538438133,81118,9370641
1538439152,81123,9370646
1538439814,81120,9370643
1538440534,81115,9370638
1538441057,81113,9370634
1538441255,81109,9370630
1538442452,81113,9370635
1538442988,81109,9370633
1538443413,81111,9370635
1538443934,81116,9370640
1538444133,81117,9370641
1538444903,81115,9370640
1538445813,81117,9370642
1538446837,81118,9370642
1538448291,81117,9370641
1538448731,81108,9370632
1538448933,81105,9370629
1538449653,81108,9370632
1538450670,81110,9370633
1538451573,81112,9370635
1538452585,81115,9370638
1538453493,81119,9370642
1538454511,81112,9370635
1538455173,81114,9370637
1538455893,81122,9370645
1538456424,81117,9370640
1538456613,81119,9370642
1538457573,81122,9370645
1538458349,81126,9370645
1538458573,81127,9370645
1538459013,81128,9370646
1538459733,81127,9370645
1538460252,81117,9370635
1538460454,81109,9370372
1538461412,81114,9370377
1538462183,81113,9370380
1538462852,81118,9370385
1538463573,81115,9370382
1538464351,81114,9370380
1538465013,81124,9370391
1538465734,81113,9370380
1538466257,81125,9370394
1538466453,81126,9370395
1538467174,81123,9370392
1538467894,81122,9370391
1538468434,81121,9370391
1538468613,81119,9370390
1538469334,81116,9370387
1538470355,81106,9370378
1538471253,81105,9370377
1538472269,81096,9370366
1538472933,81096,9370366
1538473210,81100,9370370
1538473652,81102,9370372
1538474174,81107,9370377
1538474373,81114,9370384
1538475092,81114,9370384
1538476108,81129,9370399
1538477013,81129,9370399
1538478040,81145,9370415
1538478454,81137,9370407
1538479172,81139,9370409
1538479951,81158,9370428
1538480853,81158,9370429
1538481633,81161,9370432
1538482105,81173,9370444
1538483493,81176,9370447
1538484012,81180,9370451
1538484213,81176,9370447
1538484933,81176,9370447
1538485954,81169,9370439
1538486614,81174,9370444
1538487333,81175,9370446
1538487861,81192,9370463
1538488052,81194,9370465
1538488773,81193,9370464
1538489802,81200,9370472
1538490212,81202,9370474
1538490934,81195,9370467
1538491703,81191,9370463
1538492613,81187,9370459
1538493634,81197,9370472
1538494532,81196,9370471
1538495492,81201,9370476
1538496452,81198,9370473
1538497468,81205,9370480
1538498374,81204,9370479
1538499334,81201,9370476
1538500293,81200,9370475
1538501312,81204,9370480
1538502213,81204,9370480
1538502735,81209,9370485
1538503235,81208,9370485
1538503655,81209,9370486
1538504613,81208,9370485
1538505145,81213,9370490
1538505573,81216,9370493
1538506538,81214,9370491
1538507064,81212,9370489
1538507494,81208,9370485
1538508214,81209,9370486
1538509001,81205,9370482
1538509412,81206,9370483
1538510432,81207,9370484
1538510900,81216,9370494
1538511333,81216,9370494
1538512053,81215,9370493
1538512829,81221,9370499
1538513493,81220,9370498
1538514454,81216,9370494
1538514980,81211,9370488
1538515413,81205,9370482
1538516133,81209,9370487
1538516906,81207,9370485
1538517367,81211,9370489
1538517812,81208,9370486
1538518832,81212,9370489
1538519492,81222,9370499
1538520213,81224,9370501
1538520736,81223,9370500
1538520933,81227,9370504
1538521653,81230,9370506
1538522665,81240,9370517
1538523573,81235,9370513
1538524588,81236,9370516
1538525493,81242,9370522
1538526212,81247,9370527
1538526492,81255,9370535
1538526933,81256,9370536
1538527653,81264,9370544
1538528449,81272,9370553
1538528853,81283,9370564
1538529813,81276,9370557
1538530339,81281,9370563
1538530773,81287,9370569
1538531734,81292,9370575
1538532274,81292,9370576
1538532693,81292,9370576
1538533414,81289,9370573
1538534424,81298,9370582
1538535093,81298,9370582
1538535812,81303,9370587
1538537014,81307,9370592
1538538249,81294,9370578
1538538453,81302,9370586
1538539413,81303,9370587
1538540612,81303,9370589
1538541334,81306,9370592
1538542238,81282,9370570
1538543493,81276,9370564
1538544261,81276,9370564
1538544933,81274,9370562
1538546186,81269,9370554
1538547142,81272,9369522
1538548111,81284,9369535
1538549014,81288,9369540
1538550038,81296,9369549
1538550453,81298,9369551
1538551415,81301,9369553
1538551937,81302,9369554
1538552372,81305,9369557
1538553332,81312,9369565
1538553863,81317,9369570
1538554293,81320,9369574
1538555012,81322,9369575
1538555798,81327,9369580
1538556694,81328,9369581
1538557721,81314,9369568
1538558614,81317,9369571
