DateTime,AddedIPs,RemovedIPs
1538269924,14,0
1538270524,17,1
1538271123,10,0
1538271724,11,0
1538272324,7,1
1538272924,15,0
1538273524,8,0
1538274124,34,0
1538275325,18,0
1538276524,28,0
1538277124,14,0
1538277724,13,0
1538278924,30,0
1538280124,20,0
1538280725,10,0
1538281324,27,0
1538281925,44,2
1538282524,17,0
1538283724,16,0
1538284324,37,0
1538284924,22,1
1538285524,6,0
1538286124,11,0
1538286724,13,0
1538287324,13,0
1538287924,4,0
1538288523,14,0
1538289123,7,0
1538289724,6,0
1538290324,16,0
1538290923,7,0
1538291524,17,0
1538292124,25,0
1538292724,45,1
1538293324,25,0
1538293924,13,0
1538294524,25,0
1538295724,22,0
1538296323,13,0
1538296924,19,0
1538298124,28,1
1538299323,23,0
1538300524,17,0
1538301123,20,0
1538301725,22,1
1538302924,17,0
1538303523,10,5
1538304124,6,18
1538305324,23,0
1538305924,18,9
1538306524,15,3
1538307124,20,0
1538307724,8,12
1538308324,16,0
1538308924,20,27
1538309525,13,2
1538310123,18,0
1538310724,17,15
1538311323,10,12
1538312525,5,35
1538313124,10,0
1538313724,18,37
1538314925,23,1
1538315525,9,7
1538316125,20,3
1538316725,18,5
1538317324,18,8
1538318524,5,0
1538319124,3,3
1538319725,17,24
1538320325,12,0
1538320924,14,3
1538321523,11,5
1538322124,12,47
1538322724,12,0
1538323325,20,30
1538323924,12,7
1538324523,14,0
1538325724,14,22
1538326325,28,0
1538326925,24,6
1538327525,29,37
1538328124,17,29
1538329324,19,36
1538330525,23,15
1538331125,21,8
1538331724,14,39
1538332324,2,0
1538332924,13,11
1538334123,33,12
1538335325,10,17
1538335923,15,0
1538336524,19,5
1538337725,18,7
1538338326,30,0
1538338923,8,3
1538339524,10,4
1538340123,16,1
1538340724,15,7
1538341323,23,38
1538341924,12,0
1538342523,20,5
1538343725,32,14
1538344924,15,7
1538346125,20,7
1538347324,15,24
1538347924,13,0
1538348524,23,9
1538349724,17,0
1538350324,15,15
1538350924,10,24
1538352126,7,6
1538352724,7,0
1538353324,19,17
1538354524,9,13
1538355723,9,9
1538356324,17,14
1538356924,27,14
1538357524,7,0
1538358125,15,55
1538358723,9,7
1538359325,19,10
1538359925,10,35
1538360523,13,19
1538361124,9,23
1538361723,6,0
1538362324,3,21
1538362923,11,13
1538364124,7,55
1538364723,11,0
1538365324,9,20
1538365924,10,22
1538366523,8,35
1538367124,22,32
1538367724,25,26
1538368923,4,8
1538370124,12,40
1538370725,6,8
1538371325,18,2
1538371923,15,12
1538372524,18,27
1538373123,6,0
1538373724,15,0
1538374324,12,17
1538374924,26,31
1538375524,19,7
1538376124,20,14
1538377324,32,29
1538377924,18,12
1538378523,30,0
1538379724,14,32
1538380323,17,14
1538380923,11,5
1538382125,15,45
1538382724,25,16
1538383324,26,17
1538383924,5,0
1538384524,18,6
1538385124,13,0
1538385724,15,17
1538386923,12,11
1538388123,25,16
1538389324,18,17
1538389924,23,7
1538390524,23,20
1538391725,11,7
1538392324,10,0
1538392923,19,0
1538394026,83817,5511
1538394124,7,1
1538394724,3,0
1538395324,7,0
1538395925,1,0
1538396524,7,0
1538397724,2,0
1538398924,2,0
1538400124,4,0
1538400724,15,0
1538402524,3,0
1538403124,5,0
1538403724,1,0
1538404323,2,0
1538404924,13,0
1538405524,7,0
1538406124,1,0
1538406726,2,1
1538407324,1,0
1538408524,6,0
1538409723,5,0
1538410325,1,0
1538410923,2,0
1538411523,3,2
1538412124,6,0
1538412726,1,0
1538413325,5,0
1538414524,4,2
1538415124,4,0
1538415724,4,0
1538416924,1,0
1538417525,7,0
1538418124,3,0
1538418724,4,0
1538419323,1,1
1538419923,2,0
1538420524,2,0
1538421724,14,0
1538422324,11,1
1538423525,2,0
1538424123,5,2
1538424726,10,0
1538425324,3,0
1538426524,4,0
1538427124,6,0
1538427724,2,0
1538428324,3,0
1538428924,2,0
1538430125,3,0
1538430724,3,0
