DateTime,AddedIPs,RemovedIPs
1531576329,4,0
1531597690,4,0
1531600102,1,0
1531643776,1,0
1531683849,3,3
1531719128,0,1
1531719605,1,0
1531741446,0,1
1531746016,1,0
1531747929,4,0
1531749605,1,0
1531770488,2,4
1531775813,1,0
1531806487,0,1
1531806968,1,0
1531813927,1,0
1531819462,1,0
1531856885,5,4
1531896728,1,0
1531906813,2,0
1531943526,3,2
1531950735,2,0
1531951928,0,1
1531962726,1,0
1531979287,1,0
1531982164,1,0
1531995369,1,0
1532000645,1,0
1532001131,1,0
1532002569,0,1
1532007003,1,0
1532029685,3,3
1532054165,1,0
1532055615,1,0
1532063050,1,0
1532082725,1,0
1532086568,1,0
1532115849,1,4
1532123103,1,0
1532152087,1,0
1532202725,2,1
1532238725,0,1
1532239208,2,0
1532288887,2,4
1532301141,1,0
1532331003,1,0
1532344807,2,0
1532375528,5,3
1532406009,1,0
1532409611,281,263
1532411526,0,1
1532412017,1,0
1532432178,1,0
1532440088,1,0
1532461686,3,3
1532498418,1,0
1532514727,0,1
1532519575,3,0
1532522408,1,0
1532522884,0,1
1532524808,1,0
1532528408,1,0
1532529607,0,1
1532531288,1,0
1532531767,0,1
1532532725,1,0
1532548329,2,6
1532550724,1,0
1532552648,0,1
1532563235,2,0
1532576168,1,0
1532578088,0,1
1532584328,0,1
1532584813,1,0
1532606899,3,0
1532628247,1,0
1532634485,5,3
1532685129,1,0
1532720884,5,4
1532737942,3,0
1532781614,1,0
1532782567,0,1
1532783047,1,0
1532807768,4,2
1532826538,1,0
1532867527,1,0
1532868005,0,1
1532870432,1,0
1532879766,1,0
1532881204,0,1
1532893684,1,3
1532929926,0,1
1532930429,1,0
1532957771,1,0
1532979848,3,3
1533001452,4,0
1533002464,0,2
1533004331,0,1
1533007204,0,1
1533011529,0,2
1533013927,0,2
1533014408,0,2
1533014887,0,1
1533015848,0,1
1533048245,0,1
1533053048,1,0
1533062164,0,1
1533062645,1,0
1533067451,3,4
1533082807,0,1
1533083292,1,0
1533089064,2,0
1533132730,1,0
1533152890,2,4
1533176415,2,0
1533180726,0,1
1533181207,1,0
1533199446,1,0
1533203286,1,0
1533209764,1,0
1533214324,1,0
1533220090,1,0
1533239529,2,4
1533248172,1,0
1533263772,2,0
1533299046,0,1
1533299527,1,0
1533311527,1,0
1533325929,4,2
1533329766,1,0
1533342728,0,1
1533343206,1,0
1533351126,9,0
1533394818,2,0
1533401767,0,1
1533402245,1,0
1533411845,4,2
1533438488,2,0
1533452886,0,1
1533453365,1,0
1533457205,0,1
1533457687,1,0
1533464408,0,1
1533464884,1,0
1533482181,3,0
1533486249,1,0
1533498488,2,2
1533516727,1,0
1533526805,0,1
1533527287,1,0
1533559929,0,1
1533568566,1,0
1533584647,2,1
1533608884,0,2
1533609365,0,1
1533609846,0,2
1533610818,5,0
1533615615,341,248
1533656908,2,0
1533670565,1,0
1533671530,4,5
1533696247,0,1
1533696728,1,0
1533700579,1,0
1533707285,1,0
1533728896,1,0
1533730816,2,0
1533757687,2,2
1533764404,0,1
1533764886,1,0
1533787937,2,0
1533829925,0,1
1533830415,1,0
1533844087,3,2
1533875553,2,0
1533899048,0,1
1533899525,1,0
1533919213,2,0
1533930244,3,4
1533965766,0,1
1533966248,1,0
1533999603,1,0
1534006576,2,0
1534016644,4,1
1534088703,1,0
1534103288,2,5
1534137858,1,0
1534151354,0,0
1534189927,5,6
1534230486,0,1
1534230964,1,0
1534263609,2,0
1534266965,1,0
1534269126,3,0
1534273225,0,1
1534273686,1,0
1534276087,3,5
1534311848,0,1
1534312326,1,0
1534328168,1,0
1534350007,1,0
1534362967,6,2
1534400193,2,0
1534403047,0,1
1534403525,1,0
1534443846,1,0
1534448886,2,2
1534486805,3,0
1534510329,1,0
1534531213,11,0
1534535287,3,3
1534574916,1,0
1534610884,0,1
1534611369,1,0
1534611846,0,1
1534612327,1,0
1534618588,1,0
1534621688,3,4
1534627929,1,0
1534662965,0,1
1534663449,1,0
1534663927,0,1
1534664887,1,0
1534669226,0,1
1534669687,1,0
1534708087,1,2
1534749622,1,0
1534759248,0,1
1534759686,1,0
1534793550,2,0
1534794488,3,1
1534825928,1,0
1534837209,1,0
1534880904,1,6
1534924578,5,0
1534932725,0,1
1534933208,1,0
1534941603,297,329
1534941845,0,1
1534942328,1,0
1534959125,1,0
1534967526,6,3
1534968273,5,0
1535050565,1,0
1535053685,2,1
1535094904,1,0
1535140088,2,1
1535143636,2,0
1535223852,1,0
1535226246,2,5
1535231299,2,0
1535254329,0,1
1535254805,1,0
1535267287,0,1
1535267765,1,0
1535274979,11,0
1535307373,1,0
1535312703,3,2
1535347209,1,0
1535372169,1,0
1535386087,0,1
1535387050,1,0
1535397127,0,1
1535397607,1,0
1535399048,3,3
1535406038,2,0
1535426885,0,1
1535427366,1,0
1535444169,1,0
1535485928,5,4
1535486417,0,1
1535486890,1,0
1535537083,1,0
1535540646,0,1
1535541130,1,0
1535541610,1,0
1535553003,1,0
1535572089,4,6
1535581007,2,0
1535599929,0,1
1535600411,1,0
1535624166,1,0
1535628006,0,1
1535628489,1,0
1535658246,5,3
1535668350,2,0
1535692576,238,310
1535693528,0,1
1535694008,1,0
1535708645,0,1
1535709132,1,0
1535711050,0,1
1535711528,1,0
1535712009,1,0
1535744648,4,3
1535755699,2,0
1535772966,0,1
1535773448,1,0
1535799385,1,0
1535831286,3,4
1535843316,4,0
1535859128,0,1
1535859620,1,0
1535917447,4,4
1535930928,1,0
1535971927,1,0
1535979126,1,0
1536004088,2,3
1536062453,1,0
1536090489,1,3
1536106342,1,0
1536129132,1,0
1536146653,1,0
1536150290,2,1
1536151690,1,0
1536177365,3,2
1536193939,1,0
1536237630,1,0
1536259930,1,0
1536263285,4,3
1536318247,1,0
1536334565,0,1
1536336726,1,0
1536349691,4,2
1536368667,1,0
1536390246,1,0
1536410405,0,1
1536412349,1,0
1536419050,1,0
1536436567,2,6
1536499949,2,0
1536520326,0,1
1536522246,1,0
1536522725,6,3
1536582603,1,0
1536598823,1,0
1536608888,3,5
1536662889,1,0
1536674916,2,0
1536695286,4,3
1536723129,0,1
1536723608,1,0
1536729370,1,0
1536782167,4,1
1536784566,2,0
1536803285,1,0
1536804249,1,0
1536806184,1,0
1536807622,1,0
1536809529,1,1
1536810004,1,0
1536811448,2,0
1536828485,1,0
1536834730,1,0
1536850109,1,0
1536868326,1,8
1536878166,0,1
1536880087,1,0
1536887766,1,0
1536893047,1,0
1536894034,1,0
1536894966,0,1
1536902164,1,0
1536906005,1,0
1536914890,236,266
1536920169,3,0
1536929045,1,0
1536933126,0,1
1536937726,1,0
1536954726,8,5
1536965288,1,0
1536966969,0,1
1536972245,1,0
1536979452,0,1
1536981403,1,0
1536986166,1,0
1537002727,0,1
1537004646,1,0
1537020250,2,0
1537024570,1,0
1537041130,3,1
1537047847,0,1
1537053126,1,0
1537068747,1,0
1537074725,0,1
1537076645,1,0
1537112436,2,0
