DateTime,AddedIPs,RemovedIPs
1537680742,5,21
1537682664,10,19
1537684584,36,23
1537686494,11,33
1537688411,12,14
1537690338,16,20
1537692256,15,19
1537694188,17,21
1537696096,12,20
1537698014,24,1058
1537699932,28,35
1537701853,465,0
1537703778,34,15
1537705693,27,23
1537707639,25,24
1537709538,24,6
1537711458,17,12
1537713385,18,12
1537715294,18,9
1537717211,17,10
1537719172,14,27
1537721059,27,16
1537722984,36,23
1537724896,25,13
1537726814,28,13
1537728744,18,17
1537730654,19,18
1537732582,29,26
1537734743,17,21
1537736664,26,30
1537738584,30,34
1537740498,29,32
1537742415,38,28
1537744334,417,0
1537746255,19,14
1537748190,12,19
1537750099,18,15
1537752011,20,10
1537753935,21,7
1537755853,19,9
1537757791,16,10
1537759689,31,6
1537761627,25,24
1537763543,19,15
1537765457,28,20
1537767383,35,17
1537769299,33,8
1537771212,30,19
1537773138,18,16
1537775060,26,19
1537776986,40,24
1537778893,22,21
1537780810,55,33
1537782733,38,29
1537784654,49,1167
1537786588,51,30
1537788489,405,0
1537790456,53,18
1537792352,35,11
1537794265,35,17
1537796193,32,12
1537798117,26,11
1537800028,24,18
1537801952,25,9
1537803858,18,17
1537805803,27,20
1537807702,16,14
1537809863,19,18
1537811785,28,10
1537813943,20,23
1537815896,32,13
1537817794,24,16
1537819718,23,16
1537821629,39,17
1537823553,21,18
1537825459,48,16
1537827389,36,24
1537829296,38,26
1537831219,344,0
1537833152,15,13
1537835068,26,14
1537836987,23,14
1537838891,9,8
1537840839,17,12
1537842762,10,11
1537844674,21,13
1537846572,22,15
1537848515,15,15
1537850430,14,20
1537852340,24,15
1537854257,21,7
1537856204,35,18
1537858097,16,10
1537860036,34,15
1537861970,28,15
1537863863,16,12
1537865773,23,21
1537867701,27,16
1537869622,21,1202
1537871796,36,43
1537873712,650,0
1537875626,40,24
1537877556,23,11
1537879457,25,20
1537881391,24,22
1537883315,35,21
1537885232,31,25
1537887137,31,16
1537889290,32,26
1537891474,30,31
1537893391,25,24
1537895311,26,30
1537897224,27,38
1537899150,38,22
1537901055,31,30
1537902992,35,26
1537904907,50,33
1537906828,45,31
1537908746,28,21
1537910664,30,58
1537912584,22,52
1537914508,15,32
1537916456,636,2
1537918351,28,17
1537920270,27,14
1537922192,33,16
1537924111,14,18
1537926024,9,19
1537927948,19,20
1537929865,22,14
1537931783,16,16
1537933704,15,25
1537935628,20,26
1537937539,23,20
1537939464,23,27
1537941383,25,32
1537943305,40,17
1537945231,29,31
1537947149,29,18
1537949073,33,35
1537950992,33,23
1537952912,36,37
1537954811,37,65
1537956752,20,1225
1537958903,35,36
1537960831,517,0
1537962749,25,19
1537964651,36,26
1537966580,43,23
1537968749,38,13
1537970674,42,18
1537972570,63,14
1537974514,38,18
1537976429,28,18
1537978386,28,22
1537980267,64,15
1537982196,38,28
1537984096,14,25
1537986021,27,30
1537987953,24,20
1537989864,25,23
1537991798,23,35
1537993706,13,16
1537995639,25,24
1537997548,25,22
1537999477,37,22
1538001396,59,29
1538003313,495,0
1538005226,41,21
1538007147,41,21
1538009069,29,22
1538011006,40,12
1538012896,30,13
1538014825,19,18
1538016740,18,11
1538018654,16,20
1538020582,20,20
1538022495,13,11
1538024426,18,20
1538026345,23,23
1538028267,23,30
1538030186,27,24
1538032604,26,26
1538034760,27,32
1538036664,26,14
1538038568,45,18
1538040495,40,26
1538042449,41,1369
1538044340,44,24
1538046275,664,0
1538048182,45,34
1538050117,38,20
1538052013,57,49
1538053940,26,14
1538055869,26,9
1538057781,32,20
1538059708,33,32
1538061632,32,10
1538063553,41,25
1538065472,27,12
1538067376,27,20
1538069539,42,32
1538071454,26,17
1538073616,66,43
1538075549,30,23
1538077467,30,25
1538079386,30,39
1538081307,15,36
1538083218,44,42
1538085135,23,35
1538087069,17,22
1538088970,29,35
1538090899,543,0
1538092839,17,22
1538095246,26,44
1538097140,12,12
1538099069,17,9
1538100994,17,16
1538102906,40,29
1538104811,23,9
1538106739,20,22
1538108654,19,11
1538110577,23,16
1538112495,23,26
1538114437,30,19
1538116434,19,34
1538118263,26,19
1538120193,31,31
1538122098,21,28
1538124024,30,40
1538125953,21,35
1538127868,23,34
1538129799,26,1442
1538131940,34,68
1538133869,695,0
1538136059,42,61
1538137955,35,40
1538139862,29,30
1538141783,38,33
1538143699,26,25
1538145610,23,18
1538147539,27,24
1538149456,24,21
1538151384,40,20
1538153293,29,16
1538155217,30,16
1538157131,22,12
1538159052,26,20
1538160973,35,29
1538162891,31,17
1538164846,31,32
1538166748,22,30
1538168665,19,33
1538170582,44,52
1538172505,22,35
1538174435,25,48
1538176350,599,0
1538178259,16,30
1538180182,12,50
1538182094,13,34
1538184014,16,33
1538185950,17,23
1538187856,18,15
1538189795,22,26
1538191695,8,15
1538193635,16,22
1538195553,14,12
1538197477,13,13
1538199394,16,10
1538201315,22,18
1538203228,32,24
1538205147,19,22
1538207077,34,18
1538208982,37,25
1538210897,28,35
1538212820,34,41
1538214736,30,39
1538216653,22,1396
1538218590,47,39
1538220486,539,0
1538222459,46,24
1538224335,29,23
1538226256,21,18
1538228180,38,22
1538230096,21,17
1538232009,31,20
1538233933,24,24
1538235849,16,21
1538237778,36,23
1538239701,41,20
1538241615,49,26
1538243525,22,24
1538245452,23,20
1538247367,28,26
1538249289,20,24
1538251463,30,34
1538253386,19,27
1538255303,28,21
1538257211,39,23
1538259140,21,23
1538261056,12,22
1538262978,477,0
1538264893,23,19
1538266812,50,21
1538268732,40,17
1538270671,16,20
1538272577,13,13
1538274494,16,15
1538276440,14,20
1538278339,13,25
1538280160,9,23
1538282188,16,19
1538284111,21,21
1538286012,42,23
1538287933,53,21
1538289869,23,16
1538291785,16,29
1538293697,11,26
1538295634,12,23
1538297547,23,25
1538299470,15,19
1538301373,19,31
1538303317,13,1172
1538305247,524,0
1538307382,37,21
1538309314,23,15
1538311235,44,21
1538313137,42,18
1538315057,40,16
1538316993,27,18
1538318895,26,19
1538320831,20,12
1538322771,8,14
1538324663,23,14
1538326589,13,16
1538328489,33,19
1538330441,30,16
1538332352,41,30
1538334263,14,20
1538336190,38,21
1538338122,72,47
1538340031,39,28
1538341953,40,26
1538343852,31,29
1538345784,35,38
1538347693,20,28
1538349635,465,0
1538351534,33,13
1538353472,13,10
1538355370,26,18
1538357311,31,15
1538359241,34,14
1538361163,19,16
1538363074,22,16
1538364974,31,12
1538366913,24,13
1538368825,19,15
1538370996,29,19
1538372902,19,13
1538374842,27,20
1538376739,29,21
1538378664,18,19
1538380580,22,40
1538382493,25,30
1538384472,29,28
1538386350,24,28
1538388265,27,1187
1538390193,38,20
1538392116,504,0
1538394032,43,18
1538396233,27,46
1538398109,21,23
1538400033,29,32
1538401933,5,9
1538403854,6,19
1538405803,23,16
1538407939,43,17
1538410144,27,18
1538412030,10,14
1538413936,46,23
1538415876,43,40
1538417795,25,45
1538419716,28,23
1538421630,18,16
1538423555,36,10
1538425464,40,15
1538427407,29,23
1538429551,37,18
1538431479,21,17
1538433383,12,20
1538435317,450,0
1538437225,12,15
1538439152,28,36
1538441058,29,21
1538442989,22,34
1538444905,14,8
1538446838,12,19
1538448732,14,11
1538450671,6,16
1538452587,20,9
1538454512,12,11
1538456426,16,18
1538458351,17,41
1538460253,29,20
1538462184,33,49
1538464351,33,20
1538466258,21,12
1538468435,24,15
1538470354,34,21
1538472269,15,17
1538474174,23,16
1538476109,39,1335
1538478040,606,0
1538479952,39,31
1538482106,51,37
1538484012,36,10
1538485955,33,37
1538487862,18,24
1538489803,28,30
1538491704,19,17
1538493635,24,26
1538495556,24,24
1538497469,23,23
1538499386,22,31
1538501313,25,17
1538503237,16,32
1538505147,21,16
1538507065,20,23
1538509003,28,24
1538510901,21,21
1538512831,25,22
1538514981,18,31
1538516908,16,22
1538518833,23,39
1538520738,22,28
1538522667,536,0
1538524590,18,36
1538526494,13,12
1538528450,20,29
1538530341,16,22
1538532276,19,27
1538534426,32,19
1538536332,32,18
1538538251,17,22
1538540201,26,28
1538542240,29,25
1538544263,18,19
1538546189,20,29
1538548113,25,15
1538550040,21,25
1538551938,18,18
1538553863,21,21
1538555798,23,24
1538557721,20,22
1538559632,25,24
1538561550,15,1117
1538563459,27,30
1538565402,525,0
1538567317,43,13
1538569462,38,23
1538571371,41,43
1538573307,30,21
1538575220,35,23
1538577152,32,10
1538579067,25,16
1538580993,34,13
1538582953,27,22
1538584825,39,14
1538586740,36,17
1538588671,50,16
1538590586,60,26
1538592494,46,10
1538594656,72,37
1538596604,65,34
1538598496,46,14
1538600432,25,44
1538602341,24,9
1538604257,30,30
1538606189,35,33
1538608115,460,0
1538610017,20,10
1538611937,23,20
1538613869,21,24
1538616025,43,27
1538617932,27,17
1538619856,33,8
1538621789,25,17
1538623691,17,10
1538625637,18,23
1538627539,13,11
1538629603,26,17
1538631615,29,19
1538633786,48,24
1538635695,27,9
1538637613,17,34
1538639537,24,31
1538641457,23,13
1538643386,23,41
1538645292,21,10
1538647245,20,1154
