DateTime,Entries,UniqueIPs
1537680742,2471,2471
1537682664,2462,2462
1537684584,2475,2475
1537686494,2453,2453
1537688411,2451,2451
1537690338,2447,2447
1537692256,2443,2443
1537694188,2439,2439
1537696096,2431,2431
1537698014,1397,1397
1537699932,1390,1390
1537701853,1855,1855
1537703778,1874,1874
1537705693,1878,1878
1537707639,1879,1879
1537709538,1897,1897
1537711458,1902,1902
1537713385,1908,1908
1537715294,1917,1917
1537717211,1924,1924
1537719172,1911,1911
1537721059,1922,1922
1537722984,1935,1935
1537724896,1947,1947
1537726814,1962,1962
1537728744,1963,1963
1537730654,1964,1964
1537732582,1967,1967
1537734743,1963,1963
1537736664,1959,1959
1537738584,1955,1955
1537740498,1952,1952
1537742415,1962,1962
1537744334,2379,2379
1537746255,2384,2384
1537748190,2377,2377
1537750099,2380,2380
1537752011,2390,2390
1537753935,2404,2404
1537755853,2414,2414
1537757791,2420,2420
1537759689,2445,2445
1537761627,2446,2446
1537763543,2450,2450
1537765457,2458,2458
1537767383,2476,2476
1537769299,2501,2501
1537771212,2512,2512
1537773138,2514,2514
1537775060,2521,2521
1537776986,2537,2537
1537778893,2538,2538
1537780810,2560,2560
1537782733,2569,2569
1537784654,1451,1451
1537786588,1472,1472
1537788489,1877,1877
1537790456,1912,1912
1537792352,1936,1936
1537794265,1954,1954
1537796193,1974,1974
1537798117,1989,1989
1537800028,1995,1995
1537801952,2011,2011
1537803858,2012,2012
1537805803,2019,2019
1537807702,2021,2021
1537809863,2022,2022
1537811785,2040,2040
1537813943,2037,2037
1537815896,2056,2056
1537817794,2064,2064
1537819718,2071,2071
1537821629,2093,2093
1537823553,2096,2096
1537825459,2128,2128
1537827389,2140,2140
1537829296,2152,2152
1537831219,2496,2496
1537833152,2498,2498
1537835068,2510,2510
1537836987,2519,2519
1537838891,2520,2520
1537840839,2525,2525
1537842762,2524,2524
1537844674,2532,2532
1537846572,2539,2539
1537848515,2539,2539
1537850430,2533,2533
1537852340,2542,2542
1537854257,2556,2556
1537856204,2573,2573
1537858097,2579,2579
1537860036,2598,2598
1537861970,2611,2611
1537863863,2615,2615
1537865773,2617,2617
1537867701,2628,2628
1537869622,1447,1447
1537871796,1440,1440
1537873712,2090,2090
1537875626,2106,2106
1537877556,2118,2118
1537879457,2123,2123
1537881391,2125,2125
1537883315,2139,2139
1537885232,2145,2145
1537887137,2160,2160
1537889290,2166,2166
1537891474,2165,2165
1537893391,2166,2166
1537895311,2162,2162
1537897224,2151,2151
1537899150,2167,2167
1537901055,2168,2168
1537902992,2177,2177
1537904907,2194,2194
1537906828,2208,2208
1537908746,2215,2215
1537910664,2187,2187
1537912584,2157,2157
1537914508,2140,2140
1537916456,2774,2774
1537918351,2785,2785
1537920270,2798,2798
1537922192,2815,2815
1537924111,2811,2811
1537926024,2801,2801
1537927948,2800,2800
1537929865,2808,2808
1537931783,2808,2808
1537933704,2798,2798
1537935628,2792,2792
1537937539,2795,2795
1537939464,2791,2791
1537941383,2784,2784
1537943305,2807,2807
1537945231,2805,2805
1537947149,2816,2816
1537949073,2814,2814
1537950992,2824,2824
1537952912,2823,2823
1537954811,2795,2795
1537956752,1590,1590
1537958903,1589,1589
1537960831,2106,2106
1537962749,2112,2112
1537964651,2122,2122
1537966580,2142,2142
1537968749,2167,2167
1537970674,2191,2191
1537972570,2240,2240
1537974514,2260,2260
1537976429,2270,2270
1537978386,2276,2276
1537980267,2325,2325
1537982196,2335,2335
1537984096,2324,2324
1537986021,2321,2321
1537987953,2325,2325
1537989864,2327,2327
1537991798,2315,2315
1537993706,2312,2312
1537995639,2313,2313
1537997548,2316,2316
1537999477,2331,2331
1538001396,2361,2361
1538003313,2856,2856
1538005226,2876,2876
1538007147,2896,2896
1538009069,2903,2903
1538011006,2931,2931
1538012896,2948,2948
1538014825,2949,2949
1538016740,2956,2956
1538018654,2952,2952
1538020582,2952,2952
1538022495,2954,2954
1538024426,2952,2952
1538026345,2952,2952
1538028267,2945,2945
1538030186,2948,2948
1538032604,2948,2948
1538034760,2943,2943
1538036664,2955,2955
1538038568,2982,2982
1538040495,2996,2996
1538042449,1668,1668
1538044340,1688,1688
1538046275,2352,2352
1538048182,2363,2363
1538050117,2381,2381
1538052013,2389,2389
1538053940,2401,2401
1538055869,2418,2418
1538057781,2430,2430
1538059708,2431,2431
1538061632,2453,2453
1538063553,2469,2469
1538065472,2484,2484
1538067376,2491,2491
1538069539,2501,2501
1538071454,2510,2510
1538073616,2533,2533
1538075549,2540,2540
1538077467,2545,2545
1538079386,2536,2536
1538081307,2515,2515
1538083218,2517,2517
1538085135,2505,2505
1538087069,2500,2500
1538088970,2494,2494
1538090899,3037,3037
1538092839,3032,3032
1538095246,3014,3014
1538097140,3014,3014
1538099069,3022,3022
1538100994,3023,3023
1538102906,3034,3034
1538104811,3048,3048
1538106739,3046,3046
1538108654,3054,3054
1538110577,3061,3061
1538112495,3058,3058
1538114437,3069,3069
1538116434,3054,3054
1538118263,3061,3061
1538120193,3061,3061
1538122098,3054,3054
1538124024,3044,3044
1538125953,3030,3030
1538127868,3019,3019
1538129799,1603,1603
1538131940,1569,1569
1538133869,2264,2264
1538136059,2245,2245
1538137955,2240,2240
1538139862,2239,2239
1538141783,2244,2244
1538143699,2245,2245
1538145610,2250,2250
1538147539,2253,2253
1538149456,2256,2256
1538151384,2276,2276
1538153293,2289,2289
1538155217,2303,2303
1538157131,2313,2313
1538159052,2319,2319
1538160973,2325,2325
1538162891,2339,2339
1538164846,2338,2338
1538166748,2330,2330
