DateTime,AddedIPs,RemovedIPs
1531154646,5,1
1531169794,1,2
1531184418,4,0
1531199051,3,1
1531213933,2,2
1531228587,8,0
1531243463,9,0
1531258337,8,2
1531272975,5,1
1531287657,8,1
1531302260,4,0
1531316895,8,1
1531331529,5,1
1531346435,4,1
1531361061,6,0
1531375689,4,1
1531390332,1,0
1531405224,7,0
1531419854,7,1
1531434748,5,0
1531449367,5,0
1531464012,4,0
1531478653,2,0
1531493300,5,0
1531507949,1,1
1531522836,2,1
1531537449,6,1
1531552101,5,0
1531566988,4,0
1531581607,6,0
1531596250,2,0
1531611144,2,2
1531625772,6,1
1531640654,2,0
1531655547,6,0
1531670432,6,2
1531685049,9,3
1531699687,3,0
1531714346,8,1
1531729216,1,0
1531744096,4,0
1531758734,7,0
1531773391,4,0
1531788252,4,0
1531802890,9,0
1531817531,5,1
1531832485,4,2
1531847061,4,1
1531861690,3,1
1531876338,3,2
1531890978,7,1
1531905616,4,0
1531920264,2,2
1531935139,6,0
1531949769,4,0
1531964665,0,1
1531979292,3,1
1531993957,9,0
1532008835,4,1
1532023451,6,0
1532038342,2,1
1532052976,4,1
1532067850,7,0
1532082730,2,1
1532112011,4,0
1532126649,1,1
1532141290,4,2
1532155931,2,0
1532170570,4,0
1532185215,2,1
1532199863,5,0
1532214503,3,1
1532229129,3,0
1532244011,9,1
1532258651,2,1
1532273292,0,1
1532287945,1,1
1532302595,5,2
1532317452,0,4
1532347252,6,0
1532361864,6,2
1532376503,7,0
1532391144,5,1
1532406014,7,1
1532420652,2,1
1532435290,6,1
1532449946,3,0
1532464826,7,0
1532479464,7,1
1532494343,5,1
1532508983,2,0
1532523606,2,4
1532538263,4,0
1532553141,2,1
1532567765,4,0
1532582425,1,0
1532597061,4,0
1532611946,1,5
1532626815,3,0
1532641455,5,1
1532656347,3,0
1532670964,4,2
1532685622,4,0
1532700255,1,2
1532714884,1,0
1532729536,6,0
1532744409,4,0
1532759059,6,0
1532773933,4,0
1532788567,5,1
1532803208,1,2
1532817849,6,3
1532832495,0,1
1532847386,2,0
1532862016,7,2
1532891289,1,0
1532905931,5,0
1532920580,4,2
1532935209,2,0
1532949858,6,0
1532964487,3,2
1532979131,3,0
1532993778,4,1
1533008650,6,1
1533023286,2,2
1533038189,5,0
1533053069,4,1
1533067930,3,0
1533082811,6,1
1533097449,1,2
1533112090,7,1
1533126732,5,0
1533170665,3,0
1533185534,0,3
1533200453,1,1
1533215066,3,2
1533229707,0,2
1533244347,9,2
1533258982,5,1
1533273604,1,0
1533288255,3,1
1533302889,10,0
1533317542,5,0
1533332168,8,1
1533347064,9,3
1533361946,5,0
1533376835,8,1
1533391461,5,1
1533406088,8,3
1533420970,1,0
1533435605,9,0
1533450251,2,0
1533464898,7,0
1533479527,8,1
1533494173,8,0
1533509060,6,1
1533523699,8,0
1533538330,1,0
1533553224,4,0
1533568095,9,1
1533582747,6,0
1533597868,8,0
1533612743,1,1
1533627613,1,0
1533642251,5,0
1533656899,1,2
1533671564,4,2
1533686167,5,3
1533700817,6,0
1533715459,1,0
1533730337,4,1
1533744978,6,1
1533759607,3,0
1533774247,3,0
1533788904,3,1
1533803530,2,1
1533818180,5,2
1533832825,5,2
1533847450,6,0
1533862112,4,5
1533876725,4,1
1533891385,5,1
1533906260,4,0
1533921141,5,1
1533936020,5,1
1533950646,4,0
1533965287,7,2
1533979925,7,0
1533994585,4,0
1534009208,2,0
1534023852,9,1
1534038735,3,0
1534053372,1,0
1534068256,5,0
1534082892,3,0
1534097546,4,0
1534112183,4,0
1534127061,6,0
1534141687,3,0
1534156341,2,0
1534170967,1,0
1534185613,4,1
1534200267,8,1
1534215143,4,1
1534230050,2,1
1534244647,1,0
1534259288,2,0
1534273930,4,0
1534288573,5,0
1534303224,6,1
1534317848,4,0
1534332490,4,1
1534347131,0,1
1534361765,10,0
1534376653,2,0
1534391548,2,0
1534406164,4,1
1534420844,4,1
1534435450,6,1
1534450343,5,0
1534464965,5,0
1534479609,0,1
1534494247,6,0
1534508887,2,1
1534538167,10,2
1534552804,1,2
1534567469,1,0
1534582092,7,0
1534597012,3,0
1534611870,2,0
1534626488,7,0
1534641134,3,1
1534655785,8,1
1534670416,3,0
1534685064,2,0
1534699687,5,0
1534714345,7,2
1534728967,8,0
1534743618,4,0
1534758254,5,1
1534774112,9,0
1534788728,3,0
1534803373,10,1
1534818009,9,0
1534832669,2,1
1534847543,10,0
1534862168,2,1
1534876807,2,0
1534891454,7,1
1534906086,1,1
1534920728,8,0
1534935624,4,0
1534950251,4,1
1534964891,2,0
1534979777,6,0
1534994667,2,0
1535009536,1,0
1535024407,9,0
1535039051,4,0
1535053700,3,0
1535068345,4,0
1535083234,12,0
1535098113,3,0
1535112730,5,0
1535127369,5,0
1535142008,3,0
1535156647,10,0
1535171299,2,0
1535185932,5,0
1535200585,8,0
1535215453,10,0
1535230105,2,0
1535244727,6,0
1535259377,1,0
1535274022,3,0
1535288658,5,0
1535303288,6,0
1535317930,2,0
1535332565,6,0
1535347213,3,0
1535361850,3,0
1535376489,4,0
1535391390,3,0
1535406028,2,0
1535420652,12,0
1535435537,4,0
1535450168,2,2
1535465055,5,2
1535479705,3,0
1535494573,4,1
1535509215,6,2
1535523863,4,1
1535538489,2,0
1535553138,5,0
1535567784,9,0
1535582914,8,0
1535597545,16,0
1535612175,12,0
1535626819,7,1
1535641710,11,2
1535656347,12,1
1535670982,3,0
1535685619,9,1
1535700254,6,0
1535715133,4,0
1535729778,9,0
1535744655,10,1
1535759286,7,3
1535773929,8,1
1535788830,5,1
1535803452,6,1
1535818100,4,1
1535832742,5,0
1535847610,1,2
1535862247,6,0
1535876904,2,0
1535891546,4,0
1535906424,4,1
1535921048,3,5
1535935693,3,0
1535950341,17,2
1535964975,9,1
1535979622,3,1
1535994247,9,0
1536008896,4,2
1536023544,7,1
1536038415,9,2
1536053048,9,1
1536067695,10,1
1536082343,17,2
1536097226,12,4
1536111850,13,0
1536126525,7,2
1536141140,9,1
1536156033,9,2
1536170653,11,2
1536185285,16,2
1536200179,6,0
1536215084,8,2
1536229949,5,0
1536244825,11,1
1536259452,9,0
1536274344,5,0
1536288982,10,2
1536303867,10,0
1536318735,3,0
1536333620,5,1
1536348253,5,2
1536362915,6,0
1536377530,9,1
1536392186,8,0
1536406805,6,1
1536421465,5,0
1536436087,13,2
1536450987,6,2
1536465871,3,0
1536480490,5,0
1536510268,3,2
1536525146,6,0
1536539766,3,1
1536554428,5,0
1536569054,7,1
1536583700,4,0
1536598337,3,1
1536614436,6,2
1536629047,1,2
1536658341,2,0
1536672985,2,0
1536687608,6,0
1536702506,7,1
1536717147,7,1
1536731771,5,1
1536746673,7,0
1536761532,4,3
1536776167,8,1
1536790811,4,1
1536805460,2,0
1536820104,3,0
1536834746,3,1
1536849610,6,1
1536864509,4,1
1536879660,5,0
1536894263,1,5
1536909146,1,1
1536924030,8,3
1536938910,6,0
1536953784,16,0
1536968409,34,0
1536983316,15,0
1536997952,14,3
1537012857,14,0
1537027503,24,1
1537042097,17,0
1537056973,20,2
1537071865,24,0
1537086739,15,0
1537101374,17,0
1537116258,8,0
1537131134,11,1
1537146038,9,0
1537160651,2,0
1537175545,4,1
1537190421,8,0
1537205047,1,0
1537219693,2,0
1537234330,3,1
1537249210,4,2
1537264110,2,1
