DateTime,AddedIPs,RemovedIPs
1538194509,837,186
1538195409,948,210
1538196309,774,432
1538197209,867,713
1538198110,765,783
1538199009,777,1118
1538199909,779,1360
1538200809,815,1721
1538201710,756,1834
1538202609,790,2132
1538203511,799,1572
1538204410,801,2095
1538205308,755,1437
1538206210,809,750
1538207109,801,918
1538208010,859,855
1538208909,760,930
1538209810,790,1034
1538210710,855,549
1538211611,861,482
1538212510,716,834
1538213410,786,361
1538214309,743,441
1538215210,936,446
1538216112,846,557
1538217010,822,611
1538217912,787,354
1538218810,798,517
1538219710,764,509
1538220610,653,477
1538221510,780,353
1538222410,796,374
1538223312,731,549
1538224210,734,810
1538225111,797,988
1538226009,840,532
1538226911,672,783
1538227809,588,875
1538228712,680,857
1538229611,980,732
1538230510,713,884
1538231409,713,895
1538232310,790,668
1538233211,878,1048
1538234110,849,991
1538235011,955,871
1538235911,832,465
1538236811,812,261
1538237711,988,418
1538238610,741,535
1538239510,776,599
1538240410,821,701
1538241311,835,505
1538242211,654,249
1538243112,741,246
1538244009,1101,310
1538244910,1000,338
1538245811,1021,542
1538246711,1096,912
1538247610,944,534
1538248509,846,520
1538249409,764,405
1538250310,786,528
1538251210,855,581
1538252110,758,369
1538253009,849,352
1538253909,788,517
1538254809,808,454
1538255709,788,439
1538256608,816,628
1538257509,1000,640
1538258408,807,682
1538259308,774,682
1538260208,753,609
1538261108,797,597
1538262007,851,658
1538262907,714,518
1538263807,821,705
1538264707,787,895
1538265607,698,752
1538266508,826,1027
1538267407,654,856
1538268307,758,899
1538269208,807,836
1538270108,851,951
1538271007,711,2432
1538271908,703,2085
1538272807,943,1112
1538273707,754,933
1538274607,758,1855
1538275507,908,2427
1538276408,833,1380
1538277308,858,663
1538278207,678,1224
1538279107,793,1629
1538280006,864,508
1538280907,776,439
1538281807,961,767
1538282707,884,582
1538283608,861,598
1538284507,800,644
1538285407,845,983
1538286308,883,560
1538287207,830,257
1538288108,882,149
1538289008,901,149
1538289906,838,260
1538290808,866,209
1538291707,864,283
1538293506,1641,1724
1538294408,771,367
1538295308,753,316
1538296207,728,490
1538297106,801,468
1538298006,910,1387
1538298907,785,900
1538299807,820,371
1538300707,727,957
1538301608,728,1798
1538302507,721,1641
1538303408,727,1443
1538304307,974,1046
1538305209,969,1304
1538306108,849,1344
1538307006,855,667
1538307908,888,1455
1538308808,841,998
1538309708,705,809
1538310608,737,729
1538311509,757,1339
1538312408,744,728
1538313307,835,832
