DateTime,Entries,UniqueIPs
1538194509,13666,13666
1538195409,14404,14404
1538196309,14746,14746
1538197209,14900,14900
1538198110,14882,14882
1538199009,14541,14541
1538199909,13960,13960
1538200809,13054,13054
1538201710,11976,11976
1538202609,10634,10634
1538203511,9861,9861
1538204410,8567,8567
1538205308,7885,7885
1538206210,7944,7944
1538207109,7827,7827
1538208010,7831,7831
1538208909,7661,7661
1538209810,7417,7417
1538210710,7723,7723
1538211611,8102,8102
1538212510,7984,7984
1538213410,8409,8409
1538214309,8711,8711
1538215210,9201,9201
1538216112,9490,9490
1538217010,9701,9701
1538217912,10134,10134
1538218810,10415,10415
1538219710,10670,10670
1538220610,10846,10846
1538221510,11273,11273
1538222410,11695,11695
1538223312,11877,11877
1538224210,11801,11801
1538225111,11610,11610
1538226009,11918,11918
1538226911,11807,11807
1538227809,11520,11520
1538228712,11343,11343
1538229611,11591,11591
1538230510,11420,11420
1538231409,11238,11238
1538232310,11360,11360
1538233211,11190,11190
1538234110,11048,11048
1538235011,11132,11132
1538235911,11499,11499
1538236811,12050,12050
1538237711,12620,12620
1538238610,12826,12826
1538239510,13003,13003
1538240410,13123,13123
1538241311,13453,13453
1538242211,13858,13858
1538243112,14353,14353
1538244009,15144,15144
1538244910,15806,15806
1538245811,16285,16285
1538246711,16469,16469
1538247610,16879,16879
1538248509,17205,17205
1538249409,17564,17564
1538250310,17822,17822
1538251210,18096,18096
1538252110,18485,18485
1538253009,18982,18982
1538253909,19253,19253
1538254809,19607,19607
1538255709,19956,19956
1538256608,20144,20144
1538257509,20504,20504
1538258408,20629,20629
1538259308,20721,20721
1538260208,20865,20865
1538261108,21065,21065
1538262007,21258,21258
1538262907,21454,21454
1538263807,21570,21570
1538264707,21462,21462
1538265607,21408,21408
1538266508,21207,21207
1538267407,21005,21005
1538268307,20864,20864
1538269208,20835,20835
1538270108,20735,20735
1538271007,19014,19014
1538271908,17632,17632
1538272807,17463,17463
1538273707,17284,17284
1538274607,16187,16187
1538275507,14668,14668
1538276408,14121,14121
1538277308,14316,14316
1538278207,13770,13770
1538279107,12934,12934
1538280006,13290,13290
1538280907,13627,13627
1538281807,13821,13821
1538282707,14123,14123
1538283608,14386,14386
1538284507,14542,14542
1538285407,14404,14404
1538286308,14727,14727
1538287207,15300,15300
1538288108,16033,16033
1538289008,16785,16785
1538289906,17363,17363
1538290808,18020,18020
1538291707,18601,18601
1538293506,18518,18518
1538294408,18922,18922
1538295308,19359,19359
1538296207,19597,19597
1538297106,19930,19930
1538298006,19453,19453
1538298907,19338,19338
1538299807,19787,19787
1538300707,19557,19557
1538301608,18487,18487
1538302507,17567,17567
1538303408,16851,16851
1538304307,16779,16779
1538305209,16444,16444
1538306108,15949,15949
1538307006,16137,16137
1538307908,15570,15570
1538308808,15413,15413
1538309708,15309,15309
1538310608,15317,15317
1538311509,14735,14735
1538312408,14751,14751
1538313307,14754,14754
1538314207,15301,15301
1538315108,15898,15898
1538316008,16367,16367
1538316909,16838,16838
1538317808,17252,17252
1538318708,17546,17546
1538319608,17773,17773
1538320508,18008,18008
1538321409,18376,18376
1538322307,18656,18656
1538323207,18686,18686
1538324107,18857,18857
1538325007,19106,19106
1538325908,18744,18744
1538326808,18494,18494
1538327708,18630,18630
1538328607,18540,18540
1538329507,18343,18343
1538330406,18650,18650
1538331307,18870,18870
1538332207,18924,18924
1538333108,18808,18808
1538334008,18530,18530
1538334908,17839,17839
1538335809,17389,17389
1538336708,16879,16879
1538337607,17216,17216
1538338508,17466,17466
1538339408,17646,17646
1538340308,17824,17824
1538341207,17318,17318
1538342108,17489,17489
1538343007,17346,17346
1538343907,17044,17044
1538344808,17152,17152
1538345707,17120,17120
1538346607,16997,16997
1538347508,16949,16949
1538348406,16439,16439
1538349307,15925,15925
1538350207,15707,15707
1538351109,15660,15660
1538352007,15438,15438
1538352907,15265,15265
1538353807,14962,14962
1538354707,14312,14312
1538355607,13675,13675
1538356508,13731,13731
1538357409,14141,14141
1538358308,14578,14578
1538359207,14077,14077
1538360108,14034,14034
1538361008,13899,13899
1538361907,14051,14051
1538362808,14452,14452
1538363709,14946,14946
1538364608,14820,14820
1538365508,15197,15197
1538366408,15685,15685
1538367309,16053,16053
1538368207,16268,16268
1538369107,16276,16276
1538370008,15833,15833
1538370908,15872,15872
1538372708,16600,16600
1538373609,16989,16989
1538374507,17089,17089
1538375408,15631,15631
1538376308,16017,16017
1538377208,15659,15659
1538378109,14895,14895
1538379007,13378,13378
1538379908,12681,12681
1538380809,12407,12407
1538381708,12384,12384
1538382608,12423,12423
1538383509,12787,12787
1538384408,12855,12855
1538385310,12706,12706
1538386209,11950,11950
1538387110,11163,11163
1538388009,11464,11464
1538388909,11447,11447
1538389809,11792,11792
1538390708,12314,12314
1538391608,12471,12471
1538392508,12331,12331
1538393409,12409,12409
1538394309,12637,12637
1538395208,13060,13060
1538396108,13117,13117
1538397010,12853,12853
1538397909,12450,12450
1538398810,12480,12480
1538399708,12422,12422
1538400608,12459,12459
1538401508,12560,12560
1538402409,12526,12526
1538403309,12244,12244
1538404210,11182,11182
1538405110,11237,11237
1538406009,11224,11224
1538406909,10780,10780
1538407809,10430,10430
1538408710,10514,10514
1538409610,10883,10883
1538410510,11309,11309
1538411409,11653,11653
1538412309,12122,12122
1538413210,12666,12666
1538414110,13094,13094
1538415010,13395,13395
1538415909,13846,13846
1538416809,14271,14271
1538417709,14709,14709
1538418610,15028,15028
1538419509,15502,15502
1538420409,16123,16123
1538421309,16734,16734
1538422209,17411,17411
1538423109,18239,18239
1538424010,18893,18893
1538424909,19564,19564
1538425808,20065,20065
1538426709,20690,20690
1538427609,21098,21098
1538428507,21405,21405
1538429408,21425,21425
1538430308,21534,21534
1538431209,21032,21032
1538432107,20311,20311
1538433007,20143,20143
1538433908,19939,19939
1538434808,19885,19885
1538435708,20168,20168
1538436608,19972,19972
1538437508,18184,18184
1538438408,15104,15104
1538439309,13433,13433
1538440208,12735,12735
1538441107,12055,12055
1538442007,12035,12035
1538442908,12173,12173
1538443809,11907,11907
1538444709,7489,7489
1538445607,7383,7383
1538446508,7374,7374
1538448309,7494,7494
1538449208,7744,7744
1538450109,7871,7871
1538451008,7955,7955
1538451908,8088,8088
1538452808,8227,8227
1538453709,8588,8588
1538454608,8795,8795
1538455507,8925,8925
1538456408,9049,9049
1538457307,9205,9205
1538458208,9596,9596
1538459108,9824,9824
1538460007,10015,10015
1538460907,10205,10205
1538461809,10576,10576
1538462707,10927,10927
1538463608,11208,11208
1538464507,11411,11411
1538465406,11383,11383
1538466307,11489,11489
1538467207,11737,11737
1538468108,12047,12047
1538469007,12254,12254
1538469907,12464,12464
1538470808,12499,12499
1538471708,12503,12503
1538472607,12618,12618
1538473506,12783,12783
1538474406,12919,12919
1538475305,13069,13069
1538476205,12966,12966
1538477106,13015,13015
1538478005,13160,13160
1538478905,13319,13319
1538479805,13417,13417
1538480705,13277,13277
1538481606,13389,13389
1538482505,13561,13561
1538483404,13696,13696
1538484304,14588,14588
1538485205,17247,17247
1538486104,20330,20330
1538487004,22114,22114
1538487904,23236,23236
1538488804,24218,24218
1538489704,25200,25200
1538490604,25748,25748
1538491504,26209,26209
1538492403,27066,27066
1538493304,27734,27734
1538494204,28260,28260
1538495104,28745,28745
1538496005,28795,28795
1538496904,27362,27362
1538497804,25614,25614
1538498705,23234,23234
1538499605,20204,20204
1538500505,19613,19613
1538501404,19067,19067
1538502305,18381,18381
1538503205,18593,18593
1538504104,18942,18942
1538505005,19057,19057
1538505905,18887,18887
1538506804,17605,17605
1538507704,16769,16769
1538508606,14171,14171
1538509506,14018,14018
1538510407,13881,13881
1538511307,13068,13068
1538512206,12965,12965
1538513107,13113,13113
1538514007,13096,13096
1538514908,12304,12304
1538515808,9470,9470
1538516708,5836,5836
1538517609,3981,3981
1538518509,2385,2385
1538519408,1754,1754
1538520311,1626,1626
1538521210,1585,1585
1538522111,1872,1872
1538523011,2204,2204
1538523912,2502,2502
1538524811,2805,2805
1538525710,3124,3124
1538526612,3477,3477
1538527511,3773,3773
1538528412,4452,4452
1538529313,5866,5866
1538530212,7416,7416
1538531111,8784,8784
1538532011,9993,9993
1538532911,11051,11051
1538533811,11997,11997
1538534713,12609,12609
1538535612,13068,13068
1538536511,13652,13652
1538537412,14002,14002
1538538312,14515,14515
1538539214,14969,14969
1538540112,14421,14421
1538541012,13784,13784
1538541913,13971,13971
1538542811,14428,14428
1538543711,14946,14946
1538544612,15239,15239
1538546413,15905,15905
1538547312,16083,16083
1538548211,16332,16332
1538549111,16697,16697
1538550012,16955,16955
1538550912,17418,17418
1538551812,17860,17860
1538552713,18324,18324
1538553610,18885,18885
1538554513,16668,16668
1538555412,15326,15326
1538556311,13476,13476
1538557213,7759,7759
1538558113,3007,3007
1538559011,3000,3000
1538559911,3253,3253
1538560814,3584,3584
1538561712,4096,4096
1538562613,4481,4481
1538563512,4964,4964
1538564413,5571,5571
1538565311,6174,6174
1538566211,6700,6700
1538567110,7193,7193
1538568010,7651,7651
1538568910,8170,8170
1538569810,8663,8663
1538570709,9038,9038
1538571609,9431,9431
1538572509,10045,10045
1538573409,10965,10965
1538574309,12068,12068
1538575208,13161,13161
1538576108,14255,14255
1538577008,15282,15282
1538577909,16125,16125
1538578809,16994,16994
1538579707,17719,17719
1538580607,18440,18440
1538581509,18926,18926
1538582409,19359,19359
1538583308,19590,19590
1538584209,19155,19155
1538585109,18079,18079
1538586008,16962,16962
1538586909,15879,15879
1538587808,14819,14819
1538588709,13476,13476
1538589609,11505,11505
1538590508,10104,10104
1538591408,8812,8812
1538592310,8457,8457
1538593209,8167,8167
1538594108,7819,7819
1538595009,7124,7124
1538595909,7021,7021
1538596809,6961,6961
1538597711,7031,7031
1538598610,6882,6882
1538599511,6764,6764
1538600409,6684,6684
1538601310,6853,6853
1538602209,7022,7022
1538603109,6695,6695
1538604009,6592,6592
1538604907,6245,6245
1538605808,5948,5948
1538606709,5577,5577
1538607609,5104,5104
1538608512,4770,4770
1538609409,4592,4592
1538610310,4200,4200
1538611210,4395,4395
1538612110,4407,4407
1538613010,4230,4230
1538614812,4546,4546
1538615710,4596,4596
1538616611,4242,4242
1538617511,4449,4449
1538618409,4934,4934
1538619312,5577,5577
1538620212,6649,6649
1538621112,7372,7372
1538622014,7685,7685
1538622912,7911,7911
1538623812,8176,8176
1538624712,8567,8567
1538625611,8126,8126
1538626512,7626,7626
1538627413,6683,6683
1538628311,6474,6474
1538629211,6808,6808
1538630111,7211,7211
1538631011,8085,8085
1538631911,8594,8594
1538632811,9087,9087
1538633710,9608,9608
1538634612,10149,10149
1538635512,10498,10498
1538636411,10813,10813
1538637311,11185,11185
1538638210,11603,11603
1538639112,12079,12079
1538640011,12501,12501
1538640912,12903,12903
1538641811,13412,13412
1538642711,13803,13803
1538643612,14169,14169
1538644511,14599,14599
1538645410,14845,14845
1538646310,14726,14726
1538647212,14823,14823
1538648110,15118,15118
