DateTime,AddedIPs,RemovedIPs
1534913432,60,190
1534918832,102,0
1534924232,58,48
1534930232,34,28
1534934432,35,23
1534940432,27,0
1534945833,55,23
1534951233,84,26
1534956632,97,30
1534965038,90,63
1534972834,65,42
1534979452,30,13
1534987312,21,41
1534994433,10,25
1535001632,21,56
1535007633,20,91
1535013033,27,20
1535019033,25,6
1535026832,37,61
1535033433,32,44
1535041232,87,38
1535049632,41,100
1535055632,30,35
1535062832,30,15
1535068232,23,25
1535075435,38,21
1535083232,37,21
1535089231,59,26
1535097031,42,38
1535103632,26,33
1535109032,28,84
1535113231,10,0
1535118632,14,70
1535124632,12,155
1535129432,22,85
1535136033,16,0
1535142632,53,98
1535148089,29,49
1535153438,12,0
1535158832,79,131
1535164831,84,138
1535171432,37,0
1535176231,27,70
1535181632,35,0
1535187031,31,15
1535193033,21,17
1535198432,84,13
1535204433,45,13
1535211034,87,33
1535216432,70,56
1535221833,107,53
1535227843,25,0
1535235032,28,27
1535242231,0,158
1535250031,43,113
1535256632,7,0
1535262632,30,15
1535268632,28,57
1535274632,9,47
1535281832,84,86
1535286632,78,27
1535292632,34,56
1535307032,0,51
1535313633,60,27
1535319031,59,42
1535324435,40,0
1535329831,61,59
1535336452,50,0
1535342432,41,91
1535348432,18,0
1535353231,16,43
1535357432,35,41
1535364631,58,107
1535370032,20,70
1535377231,24,36
1535383832,49,0
1535389232,26,0
1535394632,11,101
1535400032,41,77
1535405431,86,0
1535410832,61,101
1535416232,35,0
1535422232,24,53
1535428832,16,37
1535434232,27,27
1535438432,25,0
1535445032,41,15
1535450432,30,58
1535455833,29,0
1535461232,54,46
1535466632,36,68
1535471432,18,23
1535477431,35,48
1535482232,56,82
1535488231,34,99
1535493033,26,36
1535498431,84,21
1535504432,45,43
1535510431,37,53
1535516432,28,30
1535521831,56,44
1535527232,66,58
1535533231,48,61
1535538031,33,50
1535544032,27,43
1535550032,16,17
1535556631,25,19
1535562032,40,30
1535567432,51,34
1535572231,20,17
1535577632,66,31
1535583632,56,19
1535590231,45,52
1535596231,30,45
1535601631,37,49
1535607032,176,60
1535611832,128,50
1535617833,131,32
1535623832,35,35
1535631039,34,17
1535637637,29,85
1535643032,48,54
1535648432,85,0
1535653832,63,40
1535659232,38,36
1535664633,25,98
1535669432,13,32
1535675431,16,0
1535682031,31,42
1535688632,59,41
1535694032,36,42
1535698832,37,27
1535704831,61,50
1535709632,33,43
1535715032,26,0
1535721052,45,62
1535727631,51,45
1535733632,40,66
1535739632,28,35
1535746234,38,39
1535753431,31,57
1535760032,35,25
1535765431,42,61
1535770831,77,90
1535776231,50,34
1535781632,44,42
1535787031,29,56
1535793032,10,22
1535797231,16,31
1535802632,26,48
1535809231,51,61
1535813432,51,26
1535818831,48,43
1535824832,51,0
1535830836,44,53
1535837454,51,60
1535842852,41,44
1535848233,37,33
1535853631,42,59
1535858431,30,22
1535864431,29,31
1535869831,29,17
1535874631,39,31
1535880633,32,13
1535886032,69,26
1535892036,242,68
1535898032,53,42
1535904032,85,34
1535910032,23,48
1535918432,34,87
1535925032,39,24
1535931632,67,33
1535938831,69,13
1535946633,72,52
1535953832,62,29
1535961035,54,23
1535968234,33,84
1535975431,39,72
1535981431,47,27
1535986832,33,36
1535992831,34,19
1536000631,42,61
1536007833,35,77
1536013832,93,82
1536019831,42,50
1536024632,54,81
1536030630,29,0
1536037231,21,65
1536043231,35,62
1536051036,49,55
1536057632,58,42
1536064832,46,54
1536069031,74,38
1536075633,101,58
1536082243,60,90
1536087632,32,128
1536093633,43,61
1536100233,27,0
1536106231,43,32
1536112832,55,45
1536118831,54,34
1536123632,35,40
1536129032,79,81
1536134439,93,0
1536142851,78,86
1536150032,36,0
1536156631,34,29
1536163232,23,62
1536168633,47,50
1536174632,41,25
1536183631,62,24
1536191432,84,88
1536198032,58,0
1536206431,43,90
1536213031,32,56
1536219631,24,36
1536226831,25,80
1536234031,53,45
1536240632,44,23
1536246038,26,24
1536251432,57,55
1536257432,71,62
1536264033,102,116
