DateTime,AddedIPs,RemovedIPs
1534903231,214,259
1534908632,199,250
1534913432,234,167
1534918832,336,246
1534924232,226,181
1534930232,210,253
1534934432,220,144
1534940432,283,185
1534945833,220,241
1534951233,242,195
1534956632,276,196
1534965038,263,509
1534972834,344,387
1534979452,320,342
1534987312,324,366
1534994433,364,357
1535001632,311,296
1535007633,325,218
1535013033,345,247
1535019033,219,262
1535026832,308,410
1535033433,307,311
1535041232,320,446
1535049632,242,433
1535055632,270,297
1535062832,326,369
1535068232,392,197
1535075435,322,382
1535083232,222,453
1535089231,297,269
1535097031,317,368
1535103632,257,233
1535109032,245,243
1535113231,225,167
1535118632,382,194
1535124632,184,274
1535129432,215,208
1535136033,247,286
1535142632,312,263
1535148089,252,218
1535153438,207,267
1535158832,256,249
1535164831,234,364
1535171432,207,317
1535176231,240,172
1535181632,275,150
1535187031,244,236
1535193033,212,232
1535198432,303,282
1535204433,200,253
1535211034,292,290
1535216432,285,240
1535221833,326,179
1535227843,242,301
1535235032,274,283
1535250031,304,431
1535256632,211,302
1535262632,380,223
1535268632,305,229
1535274632,175,233
1535281832,324,323
1535286632,232,244
1535292632,229,275
1535313633,369,389
1535319031,236,238
1535324435,225,226
1535329831,228,196
1535336452,227,304
1535342432,218,267
1535348432,201,262
1535353231,163,199
1535357432,247,113
1535364631,331,243
1535370032,215,270
1535377231,288,297
1535383832,270,313
1535389232,224,186
1535394632,206,261
1535400032,234,247
1535405431,262,271
1535410832,265,235
1535416232,210,219
1535422232,228,331
1535428832,219,304
1535434232,191,233
1535438432,244,144
1535445032,312,251
1535450432,208,286
1535455833,206,221
1535461232,232,228
1535466632,235,206
1535471432,184,201
1535477431,230,242
1535482232,228,186
1535488231,230,222
1535493033,217,213
1535498431,286,170
1535504432,237,240
1535510431,216,317
1535516432,225,236
1535521831,238,232
1535527232,256,237
1535533231,269,249
1535538031,203,195
1535544032,241,235
1535550032,204,225
1535556631,246,276
1535562032,249,205
1535567432,217,210
1535572231,198,217
1535577632,248,221
1535583632,242,222
1535590231,231,284
1535596231,230,265
1535601631,211,216
1535607032,301,174
1535611832,315,144
1535617833,361,191
1535623832,181,217
1535631039,228,278
1535637637,222,293
1535643032,218,206
1535648432,265,213
1535653832,243,198
1535659232,209,194
1535664633,188,195
1535669432,175,167
1535675431,214,172
1535682031,192,297
1535688632,235,265
1535694032,202,192
1535698832,166,178
1535704831,221,242
1535709632,192,142
1535715032,207,219
1535721052,199,233
1535727631,272,278
1535733632,194,207
1535739632,209,249
1535746234,242,266
1535753431,260,266
1535760032,216,232
1535765431,224,166
1535770831,230,252
1535776231,237,198
1535781632,213,207
1535787031,210,210
1535793032,196,248
1535797231,190,150
1535802632,244,131
1535809231,250,277
1535813432,154,176
1535818831,246,207
1535824832,198,250
1535830836,227,264
1535837454,264,281
1535842852,193,180
1535848233,252,209
1535853631,198,169
1535858431,205,203
1535864431,193,222
1535869831,207,187
1535874631,272,193
1535880633,239,191
1535886032,239,213
1535892036,375,254
1535898032,212,242
1535904032,304,260
1535910032,242,221
1535918432,286,389
1535925032,267,309
1535931632,273,291
1535938831,329,271
1535946633,313,344
1535953832,310,297
1535961035,275,297
1535968234,277,270
1535975431,249,340
1535981431,297,258
1535986832,224,211
1535992831,254,250
1536000631,278,301
1536007833,258,371
1536013832,264,234
1536019831,213,225
1536024632,240,226
1536030630,243,236
1536037231,227,270
