DateTime,Entries,UniqueIPs
1534903231,1929,1929
1534908632,1878,1878
1534913432,1945,1945
1534918832,2035,2035
1534924232,2080,2080
1534930232,2037,2037
1534934432,2113,2113
1534940432,2211,2211
1534945833,2190,2190
1534951233,2237,2237
1534956632,2317,2317
1534965038,2071,2071
1534972834,2028,2028
1534979452,2006,2006
1534987312,1964,1964
1534994433,1971,1971
1535001632,1986,1986
1535007633,2093,2093
1535013033,2191,2191
1535019033,2148,2148
1535026832,2046,2046
1535033433,2042,2042
1535041232,1916,1916
1535049632,1725,1725
1535055632,1698,1698
1535062832,1655,1655
1535068232,1850,1850
1535075435,1790,1790
1535083232,1559,1559
1535089231,1587,1587
1535097031,1536,1536
1535103632,1560,1560
1535109032,1562,1562
1535113231,1620,1620
1535118632,1808,1808
1535124632,1718,1718
1535129432,1725,1725
1535136033,1686,1686
1535142632,1735,1735
1535148089,1769,1769
1535153438,1709,1709
1535158832,1716,1716
1535164831,1586,1586
1535171432,1476,1476
1535176231,1544,1544
1535181632,1669,1669
1535187031,1677,1677
1535193033,1657,1657
1535198432,1678,1678
1535204433,1625,1625
1535211034,1627,1627
1535216432,1672,1672
1535221833,1819,1819
1535227843,1760,1760
1535235032,1751,1751
1535250031,1624,1624
1535256632,1533,1533
1535262632,1690,1690
1535268632,1766,1766
1535274632,1708,1708
1535281832,1709,1709
1535286632,1697,1697
1535292632,1651,1651
1535313633,1631,1631
1535319031,1629,1629
1535324435,1628,1628
1535329831,1660,1660
1535336452,1583,1583
1535342432,1534,1534
1535348432,1473,1473
1535353231,1437,1437
1535357432,1571,1571
1535364631,1659,1659
1535370032,1604,1604
1535377231,1595,1595
1535383832,1552,1552
1535389232,1590,1590
1535394632,1535,1535
1535400032,1522,1522
1535405431,1513,1513
1535410832,1543,1543
1535416232,1534,1534
1535422232,1431,1431
1535428832,1346,1346
1535434232,1304,1304
1535438432,1404,1404
1535445032,1465,1465
1535450432,1387,1387
1535455833,1372,1372
1535461232,1376,1376
1535466632,1405,1405
1535471432,1388,1388
1535477431,1376,1376
1535482232,1418,1418
1535488231,1426,1426
1535493033,1430,1430
1535498431,1546,1546
1535504432,1543,1543
1535510431,1442,1442
1535516432,1431,1431
1535521831,1437,1437
1535527232,1456,1456
1535533231,1476,1476
1535538031,1484,1484
1535544032,1490,1490
1535550032,1469,1469
1535556631,1439,1439
1535562032,1483,1483
1535567432,1490,1490
1535572231,1471,1471
1535577632,1498,1498
1535583632,1518,1518
1535590231,1465,1465
1535596231,1430,1430
1535601631,1425,1425
1535607032,1552,1552
1535611832,1723,1723
1535617833,1893,1893
1535623832,1857,1857
1535631039,1807,1807
1535637637,1736,1736
1535643032,1748,1748
1535648432,1800,1800
1535653832,1845,1845
1535659232,1860,1860
1535664633,1853,1853
1535669432,1861,1861
1535675431,1903,1903
1535682031,1798,1798
1535688632,1768,1768
1535694032,1778,1778
1535698832,1766,1766
