DateTime,AddedIPs,RemovedIPs
1532823624,4,0
1532831424,2,0
1532845224,4,4
1532859627,3,4
1532866826,1,4
1532875226,4,1
1532888425,1,0
1532902826,1,2
1532910025,0,6
1532924424,1,0
1532932224,4,12
1532946627,2,0
1532961029,5,4
1532967626,1,4
1532982626,2,4
1532997025,2,2
1533011424,1,1
1533018023,0,5
1533026427,0,3
1533042027,0,4
1533049826,1,21
1533057626,2,0
1533072025,1,5
1533079224,0,6
1533087025,1,9
1533103225,2,4
1533120027,0,13
1533127826,0,9
1533142226,1,3
1533156625,0,3
1533164425,2,3
1533171624,0,9
1533179425,2,0
1533187824,1,8
1533195029,0,4
1533209427,4,0
1533223226,5,12
1533230426,0,5
1533239426,0,5
1533247826,3,0
1533256825,0,4
1533264625,0,7
1533282026,2,5
1533298825,0,9
1533306625,1,12
1533320425,1,0
1533334825,1,10
1533349224,4,2
1533355823,1,8
1533382226,0,20
1533396626,0,7
1533408024,1,2
1533420024,0,2
1533431423,117,9
1533439823,10,30
1533453626,2,8
1533468026,1,4
1533482426,3,5
1533496225,3,2
1533508825,2,1
1533520825,0,6
1533531624,0,2
1533544827,0,2
1533558026,7,7
1533572426,2,1
1533586226,1,5
1533600624,2,7
1533607824,0,5
1533622224,2,1
1533630026,1,6
1533644426,1,5
1533658225,0,13
1533672625,25,44
1533684623,4,33
1533699024,1,29
1533713427,3,180
1533727226,59,213
1533741625,3,0
1533749426,3,70
1533763825,12,41
1533778225,2,57
1533792023,4,165
1533805826,1,100
1533819025,3,114
1533833425,2,57
1533847224,2,30
1533854425,2,14
1533862223,0,21
1533876623,3,23
1533883824,1,33
1533898226,0,31
1533912626,1,38
1533927026,1,46
1533940824,5,50
1533955224,1,65
1533962424,1,49
1533970223,0,46
1533984026,2,0
1533998426,2,30
1534011025,1,40
1534025425,1,22
1534039824,2,16
1534050623,3,42
1534062626,2,44
1534073427,3,26
1534084825,1,28
1534092025,1,18
1534100425,94,37
1534113625,17,17
1534120825,5,13
1534129825,2,12
1534142423,0,21
1534154426,0,18
1534167626,1,12
1534174825,0,8
1534183825,1,14
1534197025,0,33
1534208424,0,19
1534222223,18,11
1534234826,0,12
1534246226,4,10
1534259427,0,15
1534268468,0,8
1534276225,0,7
1534290636,0,6
1534298435,1,25
1534311624,3,0
1534319426,1,55
1534333226,2,0
1534337425,1,48
1534351825,7,0
1534366224,2,43
1534380623,3,25
1534394424,0,40
1534405826,0,15
1534417826,2,11
1534428626,0,36
1534437626,0,17
1534446025,2,0
1534459825,0,22
1534473624,2,43
1534486223,0,15
1534497625,0,49
1534509026,2,26
1534521626,0,17
1534534825,93,16
1534549223,6,19
1534563624,3,12
1534578026,5,23
1534592426,2,47
1534606825,1,33
1534621225,1,49
1534633225,0,29
1534644623,1,10
1534657223,6,16
1534669227,1,8
1534683026,2,9
1534695626,0,36
1534708225,0,9
1534722025,0,32
1534729225,0,16
1534743625,0,7
1534756227,2,15
1534769427,1,22
1534782026,0,24
1534795825,3,23
1534807825,1,12
1534821624,2,12
1534835426,1,11
1534849827,1,13
1534861826,1,28
1534872626,1,23
1534885825,0,18
1534897826,1,23
1534908625,1,93
1534918824,4,9
1534930228,2,25
1534940427,1,11
1534951227,1,14
1534965027,2,13
1534979425,3,30
1534987225,0,2
1535013027,0,24
1535026826,2,24
1535041226,3,17
1535055626,6,26
1535068225,2,4
1535083225,1,13
1535097027,3,14
1535109027,3,22
1535118627,1,15
1535129426,0,15
1535142626,4,16
1535153425,1,6
1535164825,1,0
1535176224,2,13
1535187027,0,35
1535198427,1,38
1535211026,3,11
1535221827,97,13
1535235026,11,12
1535256626,7,18
1535268627,3,27
1535281827,1,15
1535292627,0,22
1535319025,3,42
1535329825,0,13
1535342425,7,25
1535353227,3,9
1535364626,2,0
1535377226,3,10
1535389226,5,11
1535400026,0,20
1535410825,2,8
1535422224,0,12
1535434225,0,12
1535445027,0,9
1535455827,2,6
1535466627,0,5
1535477426,2,13
1535488226,40,7
1535498425,5,6
1535510424,3,11
1535521824,2,7
1535533227,4,20
1535544027,0,24
1535556626,0,16
1535567426,0,11
1535577626,2,11
1535590225,12,6
1535601625,11,11
1535611825,158,0
1535623828,30,26
1535637626,7,12
1535648427,8,30
1535659226,22,16
1535669426,3,22
1535682024,0,8
1535694024,1,15
1535704826,2,8
1535715026,8,22
1535727625,13,28
1535739626,14,20
1535753425,15,6
1535765424,16,6
1535776224,10,21
1535787026,5,16
1535797226,2,36
1535809226,3,0
1535818826,3,8
1535830826,3,10
1535842825,9,9
1535853624,11,9
1535864425,7,7
1535874626,3,5
1535886027,20,11
1535898026,167,8
1535910026,48,8
1535918425,11,7
1535931625,34,13
1535938824,30,6
1535946625,10,0
1535961026,9,5
1535975426,12,5
1535986826,5,9
1536000625,3,0
1536013826,41,10
1536024624,23,6
1536037224,7,11
1536051026,12,8
1536064826,7,8
1536075626,13,6
1536087626,7,3
1536100226,5,0
1536112824,0,4
1536123624,4,10
1536134427,40,14
1536142826,7,18
1536156626,3,20
1536168626,10,10
1536174626,3,9
1536183625,1,0
1536198024,4,9
1536206424,0,8
1536219627,0,5
1536234026,3,12
1536246026,2,18
1536257426,21,18
1536270626,5,11
1536283824,4,11
1536297625,0,11
1536309026,2,14
1536323427,2,29
1536334826,8,11
1536349226,3,14
1536357025,0,4
1536370224,2,6
1536383424,6,0
1536396025,2,14
1536407426,18,16
1536418825,7,13
1536429625,6,19
1536441025,4,5
1536453623,3,3
1536460823,3,8
1536475223,2,5
1536483026,0,7
1536496226,417,12
1536510026,43,9
1536517826,5,11
1536531626,119,0
1536540024,1723,7
1536566426,436,17
1536577227,83,2
1536589826,34,3
1536601226,11,0
1536613225,8,3
1536623425,64,3
1536634224,22,9
1536645624,3,8
1536657026,6,10
1536665426,370,7
1536676825,65,4
1536689425,38,0
1536702025,12,13
1536712824,4,3
1536724824,3,18
1536735023,1,16
1536746427,7,8
1536757227,3,0
1536768026,1,5
1536779426,5,33
1536791424,111,6
1536802824,17,16
1536814824,9,8
1536824426,11,4
1536835226,3,0
1536846025,1,7
1536855626,2,5
1536865225,3,11
1536874824,2,10
1536885024,3,5
1536894623,1,12
1536904823,14,6
1536913226,44,16
1536922826,17,8
1536932425,4,0
1536942025,2,65
1536952225,4,0
1536960027,2,6
1536968423,24,2
1536979223,63,0
1536988223,6,7
1536996627,1,13
1537006825,1,0
1537017625,0,10
1537027225,0,21
1537036225,16,16
1537045225,15,28
1537053024,806,9
1537065024,666,5
1537076423,205,0
1537087826,51,7
1537099826,26,9
1537113025,11,6
1537125026,0,5
1537137025,2,11
1537148424,1,6
1537159823,4,3
1537170626,11,11
1537183225,173,7
1537195226,14,0
1537208424,29,8
1537219225,8,5
1537230623,4,6
1537241424,2,7
1537252223,2,6
1537263026,6,12
1537275025,0,5
1537287626,6,13
1537299625,2,8
1537311625,30,0
1537323623,12,2
1537335624,8,13
1537347626,4,9
1537357226,7,0
1537368626,2,11
1537379425,1,8
1537389624,1,3
1537401024,1,14
1537411824,1,14
1537422623,2,0
1537433426,8,4
1537443625,2,9
1537453225,11,39
1537463425,5,0
1537474824,3,11
1537485025,0,8
1537495823,0,5
1537506623,48,8
1537517426,165,8
1537526426,27,3
1537537825,7,9
1537549226,2,7
1537560625,6,10
1537572024,2,3
1537582823,6,5
1537592423,0,6
1537612826,1,11
1537623626,3,11
1537634426,31,14
1537644625,119,13
1537654225,14,0
1537664424,5,13
1537674023,1,8
1537682423,1,0
1537693226,3,3
1537702826,2,2
1537713626,1,5
1537725625,2,13
1537735225,0,6
1537745425,1,9
1537755024,3,0
1537763424,11,13
1537771824,4,10
1537781426,2,8
1537791026,0,3
1537803625,4,4
1537813826,0,10
1537822825,1,0
1537831224,1,15
1537846823,0,16
1537855224,1,0
1537863027,0,11
1537871427,0,9
1537885826,5,0
1537893625,0,18
1537901425,1,0
1537909826,1,9
1537919424,4,0
1537929024,1,7
1537938623,0,6
1537947033,2,9
1537955426,0,15
1537963226,2,0
1537977026,3,14
1537990825,1,5
1538005224,0,13
1538013023,2,30
1538027423,1,0
1538041827,1,21
1538056239,2,4
1538070645,2,10
1538084439,3,18
1538098235,3,12
1538111434,1,10
1538125246,1,13
1538139034,0,8
1538148036,0,18
1538163035,0,10
1538170836,0,8
1538179229,0,6
1538201431,0,4
1538209235,3,9
1538217039,0,15
1538224842,0,10
1538239235,65,0
1538247639,33,13
1538262026,8,10
1538275224,1,21
1538289634,2,10
1538303442,0,6
1538317234,3,11
1538331636,1,5
1538339437,1,10
1538353229,0,4
1538367035,3,6
1538380838,1,5
1538394637,3,7
1538407837,1,5
1538421034,0,7
1538434835,0,5
1538446236,1,9
1538456429,0,1
1538467836,1,5
1538482238,0,5
1538494827,0,9
1538507425,1,8
1538517625,1,12
1538529025,0,6
1538541023,3,9
1538552427,2,28
1538563828,2,0
1538577626,1,20
1538584826,3,17
1538592626,0,13
1538607026,0,13
1538614225,28,8
1538628625,1,0
1538635824,2,13
