DateTime,Entries,UniqueIPs
1532823624,9095,9214
1532831424,9097,9216
1532845224,9097,9216
1532859627,9096,9215
1532866826,9093,9212
1532875226,9096,9215
1532888425,9097,9216
1532902826,9096,9215
1532910025,9090,9209
1532924424,9091,9210
1532932224,9083,9202
1532946627,9085,9204
1532961029,9086,9205
1532967626,9083,9202
1532982626,9081,9200
1532997025,9081,9200
1533011424,9081,9200
1533018023,9076,9195
1533026427,9073,9192
1533042027,9069,9188
1533049826,9050,9168
1533057626,9052,9170
1533072025,9048,9166
1533079224,9042,9160
1533087025,9034,9152
1533103225,9032,9150
1533120027,9019,9137
1533127826,9011,9128
1533142226,9009,9126
1533156625,9006,9123
1533164425,9005,9122
1533171624,8996,9113
1533179425,8998,9115
1533187824,8991,9108
1533195029,8987,9104
1533209427,8991,9108
1533223226,8984,9101
1533230426,8979,9096
1533239426,8974,9091
1533247826,8977,9094
1533256825,8973,9090
1533264625,8967,9083
1533282026,8964,9080
1533298825,8956,9071
1533306625,8944,9060
1533320425,8945,9061
1533334825,8936,9052
1533349224,8938,9054
1533355823,8931,9047
1533382226,8912,9027
1533396626,8905,9020
1533408024,8904,9019
1533420024,8902,9017
1533431423,9012,9125
1533439823,8995,9105
1533453626,8989,9099
1533468026,8986,9096
1533482426,8984,9094
1533496225,8985,9095
1533508825,8986,9096
1533520825,8980,9090
1533531624,8978,9088
1533544827,8976,9086
1533558026,8976,9086
1533572426,8977,9087
1533586226,8973,9083
1533600624,8969,9078
1533607824,8964,9073
1533622224,8965,9074
1533630026,8960,9069
1533644426,8956,9065
1533658225,8944,9052
1533672625,8925,9033
1533684623,8896,9004
1533699024,8868,8976
1533713427,8691,8799
1533727226,8538,8645
1533741625,8541,8648
1533749426,8474,8581
1533763825,8445,8552
1533778225,8390,8497
1533792023,8231,8336
1533805826,8132,8237
1533819025,8025,8126
1533833425,7972,8071
1533847224,7944,8043
1533854425,7932,8031
1533862223,7911,8010
1533876623,7891,7990
1533883824,7859,7958
1533898226,7829,7927
1533912626,7793,7890
1533927026,7748,7845
1533940824,7703,7800
1533955224,7647,7736
1533962424,7599,7688
1533970223,7554,7642
1533984026,7556,7644
1533998426,7528,7616
1534011025,7489,7577
1534025425,7468,7556
1534039824,7454,7542
1534050623,7416,7503
1534062626,7375,7461
1534073427,7352,7438
1534084825,7325,7411
1534092025,7309,7394
1534100425,7365,7451
1534113625,7365,7451
1534120825,7357,7443
1534129825,7347,7433
1534142423,7326,7412
1534154426,7308,7394
1534167626,7297,7383
1534174825,7289,7375
1534183825,7276,7362
1534197025,7243,7329
1534208424,7224,7310
1534222223,7231,7317
1534234826,7219,7305
1534246226,7213,7299
1534259427,7198,7284
1534268468,7191,7276
1534276225,7184,7269
1534290636,7178,7263
1534298435,7154,7239
1534311624,7157,7242
1534319426,7103,7188
1534333226,7105,7190
1534337425,7059,7143
1534351825,7066,7150
1534366224,7025,7109
1534380623,7004,7087
1534394424,6964,7047
1534405826,6950,7032
1534417826,6941,7023
1534428626,6905,6987
1534437626,6888,6970
1534446025,6890,6972
1534459825,6868,6950
1534473624,6827,6909
1534486223,6812,6894
1534497625,6765,6845
1534509026,6741,6821
1534521626,6724,6804
1534534825,6801,6881
1534549223,6788,6868
1534563624,6779,6859
1534578026,6761,6841
1534592426,6716,6796
1534606825,6685,6764
1534621225,6638,6716
1534633225,6609,6687
1534644623,6601,6678
1534657223,6591,6668
1534669227,6584,6661
1534683026,6578,6654
1534695626,6543,6618
1534708225,6534,6609
1534722025,6502,6577
1534729225,6486,6561
1534743625,6479,6554
1534756227,6466,6541
1534769427,6446,6520
1534782026,6422,6496
1534795825,6402,6476
1534807825,6391,6465
1534821624,6381,6455
1534835426,6371,6445
1534849827,6359,6433
1534861826,6333,6406
1534872626,6312,6384
1534885825,6294,6366
1534897826,6272,6344
1534908625,6181,6252
1534918824,6176,6247
1534930228,6153,6224
1534940427,6143,6214
1534951227,6130,6201
1534965027,6119,6190
1534979425,6093,6163
1534987225,6091,6161
1535013027,6068,6137
1535026826,6046,6115
1535041226,6032,6101
1535055626,6012,6081
1535068225,6010,6079
1535083225,5998,6067
1535097027,5987,6056
1535109027,5968,6037
1535118627,5954,6023
1535129426,5939,6008
1535142626,5927,5996
1535153425,5922,5991
1535164825,5923,5992
1535176224,5912,5981
1535187027,5885,5946
1535198427,5859,5909
1535211026,5851,5901
1535221827,5932,5985
1535235026,5931,5984
1535256626,5921,5973
1535268627,5897,5949
1535281827,5883,5935
1535292627,5861,5913
1535319025,5822,5874
1535329825,5809,5861
1535342425,5791,5843
1535353227,5785,5837
1535364626,5787,5839
1535377226,5780,5832
1535389226,5774,5826
