DateTime,Entries,UniqueIPs
1532946627,2511,2511
1532961029,2582,2582
1532967626,2522,2522
1532982626,2507,2507
1532997025,2512,2512
1533011424,2448,2448
1533018023,2524,2524
1533026427,2450,2450
1533034827,2473,2473
1533042027,2486,2486
1533049826,2424,2424
1533057626,2440,2440
1533072025,2430,2430
1533079224,2432,2432
1533087025,2372,2372
1533094824,2330,2330
1533103225,2354,2354
1533111026,2291,2291
1533120027,2200,2200
1533127826,2291,2291
1533142226,2243,2243
1533156625,2207,2207
1533164425,2212,2212
1533171624,2146,2146
1533179425,2122,2122
1533187824,2079,2079
1533195029,2054,2054
1533209427,1994,1994
1533223226,1979,1979
1533230426,2035,2035
1533239426,1914,1914
1533247826,1869,1869
1533256825,1858,1858
1533264625,1725,1725
1533273624,1667,1667
1533282026,1609,1609
1533291026,1583,1583
1533298825,1644,1644
1533306625,1613,1613
1533320425,1602,1602
1533334825,1615,1615
1533349224,1594,1594
1533355823,1619,1619
1533370226,1554,1554
1533382226,1643,1643
1533396626,1519,1519
1533408024,1622,1622
1533420024,1716,1716
1533431423,1931,1931
1533439823,1922,1922
1533453626,1903,1903
1533468026,1932,1932
1533482426,2029,2029
1533496225,2129,2129
1533508825,2139,2139
1533520825,2208,2208
1533531624,2230,2230
1533544827,2138,2138
1533558026,2097,2097
1533572426,2037,2037
1533586226,2057,2057
1533600624,2143,2143
1533607824,2237,2237
1533622224,2181,2181
1533630026,2190,2190
1533644426,2112,2112
1533658225,2081,2081
1533672625,2129,2129
1533684623,2203,2203
1533699024,2162,2162
1533713427,2153,2153
1533727226,2210,2210
1533741625,2102,2102
1533749426,2079,2079
1533763825,2037,2037
1533778225,1998,1998
1533792023,2004,2004
1533805826,2060,2060
1533819025,2144,2144
1533833425,2035,2035
1533847224,2024,2024
1533854425,2072,2072
1533862223,1981,1981
1533876623,1946,1946
1533883824,1996,1996
1533898226,1947,1947
1533912626,1921,1921
1533927026,1760,1760
1533940824,1698,1698
1533955224,1694,1694
1533962424,1784,1784
1533970223,1688,1688
1533984026,1630,1630
1533998426,1580,1580
1534011025,1607,1607
1534025425,1637,1637
1534039824,1653,1653
1534050623,1702,1702
1534062626,1997,1997
1534073427,2030,2030
1534084825,1949,1949
1534092025,1971,1971
1534100425,1942,1942
1534113625,2030,2030
1534120825,2046,2046
1534129825,2033,2033
1534142423,1972,1972
1534154426,2211,2211
1534167626,2175,2175
1534174825,2168,2168
1534183825,1941,1941
1534197025,1955,1955
1534208424,2034,2034
1534222223,1993,1993
