DateTime,Entries,UniqueIPs
1534913430,2304,2318
1534918830,2309,2323
1534924230,2313,2327
1534930231,2311,2325
1534934430,2309,2323
1534940430,2315,2329
1534945831,2313,2327
1534951231,2319,2333
1534956630,2317,2331
1534965036,2319,2333
1534972832,2319,2334
1534979450,2321,2336
1534987310,2321,2336
1534994431,2319,2334
1535001630,2320,2335
1535007631,2315,2330
1535013031,2318,2333
1535019030,2318,2333
1535026830,2319,2334
1535033431,2318,2333
1535041230,2318,2333
1535049631,2319,2334
1535055630,2318,2333
1535062830,2316,2331
1535068230,2317,2332
1535075433,2314,2329
1535083230,2316,2331
1535089230,2301,2316
1535097029,2301,2316
1535103631,2302,2317
1535109030,2310,2325
1535113229,2309,2323
1535118630,2310,2324
1535124631,2311,2325
1535129430,2314,2328
1535136031,2317,2331
1535142630,2315,2329
1535148071,2314,2328
1535153436,2310,2324
1535158830,2315,2329
1535164829,2317,2331
1535171430,2317,2331
1535176229,2323,2337
1535181631,2323,2337
1535187030,2324,2338
1535193031,2324,2338
1535198430,2325,2339
1535204431,2328,2342
1535211031,2324,2338
1535216431,2327,2341
1535221832,2332,2346
1535227838,2331,2345
1535235030,2329,2343
1535242230,2327,2341
1535250029,2327,2341
1535256630,2326,2341
1535262630,2331,2346
1535268630,2325,2340
1535274630,2329,2344
1535281830,2333,2348
1535286630,2330,2345
1535292631,2334,2349
1535307030,2324,2339
1535313631,2327,2342
1535319029,2324,2339
1535324433,2323,2338
1535329829,2322,2337
1535336450,2319,2334
1535342431,2319,2334
1535348430,2327,2342
1535353229,2328,2343
1535357430,2329,2344
1535364629,2334,2349
1535370030,2332,2347
1535377230,2336,2351
1535383830,2335,2350
1535389230,2331,2346
1535394630,2334,2349
1535400030,2329,2344
1535405430,2336,2351
1535410830,2335,2350
1535416230,2332,2347
1535422230,2334,2349
1535428830,2336,2351
1535434230,2335,2350
1535438430,2334,2349
1535445030,2337,2352
1535450430,2336,2351
1535455831,2333,2348
1535461230,2334,2349
1535466630,2337,2352
1535471430,2336,2351
1535477430,2335,2350
1535482230,2333,2348
1535488230,2329,2344
1535493031,2329,2344
1535504430,2326,2342
1535510429,2330,2346
1535516430,2322,2338
