DateTime,AddedIPs,RemovedIPs
1534908631,23,24
1534913430,23,24
1534918830,21,22
1534924230,19,17
1534930231,10,12
1534934430,22,23
1534940430,20,18
1534945831,23,22
1534951231,23,23
1534956630,20,20
1534965036,23,25
1534972832,25,23
1534979450,17,20
1534987310,21,19
1534994431,20,20
1535001630,22,21
1535007631,23,24
1535013031,22,21
1535019030,18,19
1535026830,21,21
1535033431,17,18
1535041230,25,23
1535049631,21,22
1535055630,24,24
1535062830,20,21
1535068230,20,20
1535075433,20,20
1535083230,23,23
1535089230,23,22
1535097029,21,22
1535103631,18,17
1535109030,25,25
1535113229,22,22
1535118630,21,21
1535124631,25,24
1535129430,23,23
1535136031,13,14
1535142630,16,16
1535148071,18,20
1535153436,24,22
1535158830,26,25
1535164829,17,17
1535171430,22,24
1535176229,21,20
1535181631,27,25
1535187030,19,23
1535193031,14,12
1535198430,24,24
1535204431,20,21
1535211031,17,18
1535216431,25,23
1535221832,22,22
1535227838,17,17
1535235030,18,16
1535250029,15,18
1535256630,14,14
1535262630,23,22
1535268630,19,20
1535274630,20,20
1535281830,15,14
1535286630,25,23
1535292631,19,22
1535313631,15,14
1535319029,24,24
1535324433,23,21
1535329829,23,25
1535336450,22,21
1535342431,19,21
1535348430,24,23
1535353229,25,24
1535357430,21,23
1535364629,23,22
1535370030,23,23
1535377230,16,19
1535383830,19,16
1535389230,23,23
1535394630,23,22
1535400030,21,22
1535405430,25,24
1535410830,22,24
1535416230,20,21
1535422230,20,18
1535428830,19,17
1535434230,23,26
1535438430,24,24
1535445030,20,19
1535450430,20,20
1535455831,23,24
1535461230,23,21
1535466630,25,24
1535471430,22,23
1535477430,23,24
1535482230,21,22
1535488230,27,24
1535493031,24,24
1535498430,25,26
1535504430,19,21
1535510429,16,15
1535516430,23,23
1535521829,18,19
1535527230,21,21
1535533229,21,20
1535538030,22,23
1535544030,21,20
1535550030,18,18
1535556630,11,11
1535562030,25,24
1535567430,22,22
1535572230,25,26
1535577630,21,21
1535583630,25,24
1535590229,21,23
1535596229,18,18
1535601629,24,24
1535607031,25,23
1535611830,24,26
1535617831,20,20
1535623830,23,23
1535631037,24,22
1535637635,24,25
1535643030,26,25
1535648430,22,25
1535653830,25,23
1535659230,26,25
1535664631,22,24
1535669430,23,23
1535675429,25,23
1535682029,22,22
1535688630,26,25
1535694030,26,27
