DateTime,AddedIPs,RemovedIPs
1538028726,5,4
1538029212,5,10
1538029690,9,9
1538030170,6,6
1538030646,5,6
1538031129,6,8
1538031610,7,4
1538032571,7,13
1538033290,10,6
1538033768,4,3
1538034256,5,10
1538034749,9,5
1538035217,5,4
1538035688,8,10
1538036172,5,3
1538036645,5,3
1538037128,1,1
1538041927,0,1
1538042432,1,0
1538049610,1,1
1538051529,1,1
1538052966,0,1
1538053449,1,0
1538062568,0,1
1538063048,1,0
1538072166,0,1
1538073126,1,0
1538085622,0,2
1538086085,2,0
1538086566,0,1
1538087046,1,0
1538090404,0,1
1538090891,1,0
1538096645,0,4
1538097129,6,12
1538097610,13,10
1538098089,11,6
1538098567,7,13
1538099049,10,9
1538099525,11,6
1538100011,4,7
1538100486,7,8
1538100967,7,8
1538101450,9,5
1538101926,9,10
1538102405,9,9
1538102890,10,5
1538103366,5,6
1538103847,7,3
1538104328,3,7
1538104806,8,11
1538105289,9,6
1538105769,9,11
1538106245,6,7
1538106725,6,5
1538107228,9,8
1538107686,5,3
1538108176,6,7
1538108646,6,8
1538109136,7,7
1538109604,6,7
1538110084,7,5
1538110566,7,8
1538111053,6,7
1538111526,7,6
1538112005,6,6
1538112490,5,5
1538112969,6,8
1538113448,7,8
1538113929,7,4
1538114424,13,16
1538114887,7,8
1538115366,7,7
1538115848,8,10
1538116329,6,7
1538117048,8,7
1538117766,7,4
1538118251,6,8
1538118724,9,9
1538119212,7,5
1538119686,5,7
1538120166,6,6
1538120649,7,5
1538121129,8,13
1538121609,8,4
1538122086,10,14
1538122569,6,5
1538123046,5,1
1538123525,1,1
1538127848,0,2
1538128329,2,0
1538137455,0,1
1538137931,1,0
1538145125,1,1
1538151369,0,1
1538151844,1,0
1538154246,0,1
1538154727,1,0
1538161446,0,1
1538161925,1,0
1538179684,0,1
1538180167,1,0
1538183045,1,3
1538183528,6,10
1538184010,8,6
1538184485,11,10
1538184964,7,7
1538185447,8,10
1538185927,9,6
1538186415,7,9
1538186885,7,8
1538187368,9,10
1538187849,8,7
1538188329,11,11
