DateTime,Entries,UniqueIPs
1538028726,4940,4940
1538029212,4935,4935
1538029690,4935,4935
1538030170,4935,4935
1538030646,4934,4934
1538031129,4932,4932
1538031610,4935,4935
1538032571,4929,4929
1538033290,4933,4933
1538033768,4934,4934
1538034256,4929,4929
1538034749,4933,4933
1538035217,4934,4934
1538035688,4932,4932
1538036172,4934,4934
1538036645,4936,4936
1538037128,4936,4936
1538041927,4935,4935
1538042432,4936,4936
1538049610,4936,4936
1538051529,4936,4936
1538052966,4935,4935
1538053449,4936,4936
1538062568,4935,4935
1538063048,4936,4936
1538072166,4935,4935
1538073126,4936,4936
1538085622,4934,4934
1538086085,4936,4936
1538086566,4935,4935
1538087046,4936,4936
1538090404,4935,4935
1538090891,4936,4936
1538096645,4932,4932
1538097129,4926,4926
1538097610,4929,4929
1538098089,4934,4934
1538098567,4928,4928
1538099049,4929,4929
1538099525,4934,4934
1538100011,4931,4931
1538100486,4930,4930
1538100967,4929,4929
1538101450,4933,4933
1538101926,4932,4932
1538102405,4932,4932
1538102890,4937,4937
1538103366,4936,4936
1538103847,4940,4940
1538104328,4936,4936
1538104806,4933,4933
1538105289,4936,4936
1538105769,4934,4934
1538106245,4933,4933
1538106725,4934,4934
1538107228,4935,4935
1538107686,4937,4937
1538108176,4936,4936
1538108646,4934,4934
1538109136,4934,4934
1538109604,4933,4933
1538110084,4935,4935
1538110566,4934,4934
1538111053,4933,4933
1538111526,4934,4934
1538112005,4934,4934
1538112490,4934,4934
1538112969,4932,4932
1538113448,4931,4931
1538113929,4934,4934
1538114424,4931,4931
1538114887,4930,4930
1538115366,4930,4930
1538115848,4928,4928
1538116329,4927,4927
1538117048,4928,4928
1538117766,4931,4931
1538118251,4929,4929
1538118724,4929,4929
1538119212,4931,4931
1538119686,4929,4929
1538120166,4929,4929
1538120649,4931,4931
1538121129,4926,4926
1538121609,4930,4930
1538122086,4926,4926
1538122569,4927,4927
1538123046,4931,4931
1538123525,4931,4931
1538127848,4929,4929
1538128329,4931,4931
1538137455,4930,4930
1538137931,4931,4931
1538145125,4931,4931
1538151369,4930,4930
1538151844,4931,4931
1538154246,4930,4930
1538154727,4931,4931
1538161446,4930,4930
1538161925,4931,4931
1538179684,4930,4930
1538180167,4931,4931
1538183045,4929,4929
1538183528,4925,4925
1538184010,4927,4927
1538184485,4928,4928
1538184964,4928,4928
1538185447,4926,4926
1538185927,4929,4929
1538186415,4927,4927
1538186885,4926,4926
1538187368,4925,4925
1538187849,4926,4926
1538188329,4926,4926
1538188805,4924,4924
1538189285,4926,4926
1538189766,4923,4923
1538190246,4926,4926
1538190725,4932,4932
1538191204,4929,4929
1538191690,4929,4929
1538192167,4930,4930
1538192648,4929,4929
1538193365,4927,4927
1538194086,4930,4930
1538194574,4931,4931
1538195044,4928,4928
1538195530,4931,4931
1538196005,4930,4930
1538196488,4929,4929
1538196968,4933,4933
1538197449,4932,4932
1538197926,4934,4934
1538198412,4936,4936
1538198887,4930,4930
1538199368,4933,4933
1538199845,4936,4936
1538200330,4935,4935
1538200810,4932,4932
1538201288,4932,4932
1538201770,4931,4931
1538202246,4932,4932
1538202727,4934,4934
1538203208,4932,4932
1538203684,4935,4935
1538204169,4934,4934
1538204646,4934,4934
1538205126,4933,4933
1538205607,4929,4929
1538206085,4934,4934
1538207052,4930,4930
1538207527,4935,4935
1538208014,4935,4935
1538208488,4935,4935
1538208968,4935,4935
1538209445,4939,4939
1538209928,4940,4940
1538227446,4939,4939
1538227925,4940,4940
1538235605,4939,4939
1538236089,4940,4940
1538241844,4939,4939
1538242329,4940,4940
1538243765,4939,4939
1538244250,4940,4940
1538257205,4939,4939
1538257684,4940,4940
1538259126,4939,4939
1538259606,4940,4940
1538262014,4939,4939
1538262485,4940,4940
1538268727,4939,4939
