DateTime,Entries,UniqueIPs
1538276524,7262,7391
1538277124,7254,7384
1538277724,7262,7393
1538278924,7257,7391
1538280124,7205,7339
1538280725,7212,7348
1538281324,7152,7288
1538281925,7172,7305
1538282524,7233,7367
1538283724,7231,7362
1538284324,7241,7370
1538284924,7244,7373
1538285524,7286,7415
1538286124,7293,7423
1538286724,7225,7355
1538287324,7287,7419
1538288523,7224,7351
1538289123,7229,7358
1538289724,7173,7300
1538290324,7233,7361
1538290923,7203,7330
1538291524,7263,7392
1538292124,7272,7399
1538292724,7333,7461
1538293324,7346,7471
1538293924,7341,7464
1538294524,7357,7479
1538295724,7418,7540
1538296323,7427,7548
1538296924,7424,7544
1538298124,7338,7453
1538299323,7351,7465
1538300524,7355,7469
1538301123,7360,7473
1538301725,7416,7529
1538302924,7355,7471
1538303523,7355,7469
1538304124,7401,7517
1538305324,7348,7464
1538305924,7358,7472
1538306524,7306,7415
1538307124,7295,7402
1538307724,7301,7410
1538308324,7352,7464
1538308924,7359,7471
1538309525,7380,7493
1538310123,7382,7495
1538310724,7394,7510
1538311323,7432,7548
1538312525,7369,7483
1538313124,7425,7543
1538313724,7386,7506
1538314925,7328,7444
1538315525,7377,7493
1538316125,7379,7494
1538316725,7316,7428
1538317324,7372,7487
1538318524,7320,7435
1538319124,7304,7420
1538319725,7317,7431
1538320325,7340,7453
1538320924,7376,7489
1538321523,7366,7478
1538322124,7360,7473
1538323325,7308,7422
1538323924,7362,7478
1538324523,7364,7480
1538325724,7417,7534
1538326325,7365,7482
1538326925,7350,7468
1538327525,7415,7534
1538328124,7425,7544
1538329324,7431,7546
1538330525,7380,7497
1538331125,7328,7442
1538331724,7334,7447
1538332924,7329,7442
1538334123,7311,7419
1538335325,7179,7284
1538335923,7249,7354
1538336524,7253,7353
1538337725,7194,7293
1538338326,7267,7366
1538338923,7254,7354
1538339524,7314,7415
1538340123,7308,7407
1538340724,7298,7394
1538341323,7358,7456
1538341924,7355,7454
1538342523,7377,7476
1538343725,7304,7402
1538344924,7348,7447
1538346125,7243,7338
1538347324,7239,7334
1538347924,7249,7344
1538348524,7302,7397
1538349724,7304,7398
1538350324,7297,7391
1538350924,7293,7387
1538352126,7240,7334
1538352724,7290,7389
1538353324,7308,7405
1538354524,7370,7467
1538355723,7318,7414
1538356324,7372,7468
1538356924,7368,7463
1538358125,7285,7377
1538358723,7339,7432
1538359325,7333,7426
1538359925,7262,7355
1538360523,7259,7350
1538361124,7319,7410
1538361723,7341,7429
1538362324,7393,7483
1538362923,7455,7546
1538364124,7418,7504
1538364723,7422,7507
1538365324,7415,7501
1538365924,7467,7554
1538366523,7482,7569
1538367124,7493,7580
1538367724,7508,7597
1538368923,7461,7549
1538370124,7519,7608
1538370725,7459,7551
1538371325,7525,7617
1538371923,7496,7587
1538372524,7498,7590
1538373123,7543,7637
1538373724,7549,7644
1538374324,7539,7634
1538374924,7558,7654
1538375524,7567,7663
1538376124,7593,7688
1538377324,7592,7687
1538377924,7582,7677
1538378523,7530,7623
1538379724,7532,7625
1538380323,7494,7589
1538380923,7546,7642
1538382125,7534,7631
1538382724,7495,7593
1538383324,7541,7640
1538383924,7553,7653
1538384524,7562,7663
1538385124,7624,7726
1538385724,7682,7787
1538386923,7684,7789
1538388123,7565,7669
1538389324,7584,7688
1538389924,7594,7697
1538390524,7618,7720
1538391725,7615,7719
1538392324,7609,7712
1538392923,7604,7709
1538394124,7576,7672
1538394724,7598,7695
1538395324,7607,7702
1538395925,7603,7698
1538396524,7603,7699
1538397724,7603,7696
1538398324,7611,7707
1538398924,7614,7708
1538400124,7636,7729
1538400724,7649,7744
1538401324,7704,7802
1538402524,7613,7710
1538403124,7674,7774
1538403724,7675,7777
1538404323,7681,7785
1538404924,7681,7784
1538405524,7679,7779
1538406124,7691,7791
1538406726,7689,7788
1538407324,7680,7778
1538408524,7602,7703
1538409723,7653,7754
1538410325,7637,7737
1538410923,7632,7731
1538411523,7626,7727
1538412124,7686,7787
1538412726,7672,7771
1538413325,7664,7767
1538414524,7533,7633
1538415124,7570,7671
1538415724,7614,7716
1538416924,7550,7652
1538417525,7553,7655
1538418124,7611,7714
1538418724,7596,7701
1538419323,7590,7697
1538419923,7658,7765
1538420524,7635,7742
1538421125,7677,7785
1538421724,7730,7838
1538422324,7721,7825
1538422926,7716,7821
1538424123,7721,7828
1538424726,7636,7743
1538425324,7628,7734
1538426524,7536,7643
1538427124,7576,7688
1538427724,7483,7593
1538428324,7466,7576
1538428924,7449,7558
1538430125,7439,7547
1538430724,7489,7599
1538431325,7497,7604
1538432524,7537,7644
1538433125,7522,7631
1538433723,7502,7613
1538434924,7424,7537
1538435525,7471,7588
1538436123,7450,7566
1538436725,7450,7567
1538437325,7488,7605
1538437924,7488,7603
1538438526,7530,7646
1538439724,7466,7578
1538440924,7400,7512
1538441524,7446,7558
1538442124,7438,7551
1538442725,7422,7536
1538443323,7410,7526
1538444523,7439,7555
1538445724,7311,7423
1538446324,7351,7465
1538446924,7340,7450
1538448123,7265,7372
1538449324,7132,7235
1538449924,7181,7284
1538450524,7138,7241
1538451125,7116,7221
1538451723,7149,7254
1538452323,7062,7168
1538452924,7091,7197
1538454124,7004,7108
1538454724,6988,7093
1538455324,6984,7088
1538455924,7032,7136
1538456524,7029,7134
1538457724,7023,7127
1538458924,6962,7063
1538460123,6894,6995
1538460724,6827,6929
1538461324,6872,6974
1538462524,6782,6881
1538463123,6758,6858
1538463724,6802,6908
1538464324,6796,6902
1538464923,6803,6910
1538466124,6748,6853
1538467324,6737,6844
1538467924,6746,6854
1538468526,6748,6856
1538469125,6747,6854
1538469724,6732,6840
1538470324,6716,6822
1538470924,6763,6870
1538471524,6676,6781
1538472124,6652,6757
1538473324,6715,6820
1538473924,6694,6801
1538474525,6754,6861
1538475124,6753,6861
1538475724,6743,6851
1538476325,6787,6898
1538476924,6753,6864
1538478124,6752,6863
1538479324,6725,6835
1538479923,6717,6826
1538480523,6697,6806
1538481124,6743,6853
1538481724,6734,6843
1538482325,6683,6791
1538482924,6679,6787
1538483524,6703,6811
1538484124,6701,6809
1538484724,6762,6872
1538485325,6781,6888
1538485924,6809,6917
1538486523,6786,6894
1538487724,6767,6868
1538488925,6802,6904
1538489524,6734,6836
1538490124,6746,6846
1538491324,6785,6882
1538492526,6771,6867
1538493724,6748,6845
1538494324,6720,6817
1538494924,6772,6871
1538495524,6761,6859
1538496124,6804,6902
1538496725,6745,6843
1538497324,6747,6843
1538497925,6791,6891
1538498523,6758,6855
1538499124,6753,6848
1538499725,6745,6840
1538500325,6786,6881
1538500924,6786,6881
1538501524,6839,6936
1538502124,6864,6963
1538503325,6871,6970
1538503925,6860,6958
1538504524,6850,6951
1538505124,6814,6914
1538505724,6865,6968
1538506323,6889,6986
1538506925,6850,6947
1538507524,6914,7012
1538508124,6948,7046
1538508724,6954,7053
1538509323,6944,7042
1538509924,6991,7089
1538510524,6994,7092
1538511125,7035,7133
1538511727,7023,7122
1538512925,7052,7151
1538513524,7014,7108
1538514124,7037,7131
1538514725,7022,7115
1538515324,7013,7107
1538516524,7060,7155
1538517724,7018,7112
1538518325,7005,7096
1538518924,7019,7110
1538520124,6981,7071
1538521323,7019,7109
1538521925,6992,7081
1538522525,7036,7131
1538523124,7025,7119
1538523724,7024,7119
1538524324,7012,7105
1538524926,7051,7145
1538526123,6980,7071
1538527323,7032,7124
1538528524,7009,7101
1538529125,6954,7044
1538529724,6996,7087
1538530324,6977,7065
1538530924,6974,7062
1538531523,7032,7120
1538532123,7032,7121
1538533325,7040,7127
1538533925,7040,7128
1538534525,7076,7164
1538535723,7077,7165
1538536923,7019,7106
1538538124,6947,7033
1538538723,6983,7071
1538539324,6950,7036
1538540524,6985,7072
1538541724,6919,7001
1538542323,6862,6946
1538542924,6873,6958
1538543526,6930,7015
1538544124,6961,7047
1538544723,6973,7066
1538545328,6977,7072
1538545926,7030,7127
1538546524,7044,7143
1538547724,7024,7123
1538548323,7089,7188
1538548924,7089,7189
1538549523,7137,7238
1538550124,7089,7190
1538550725,7104,7203
1538551323,7097,7198
1538552524,7089,7188
1538553123,7132,7234
1538553724,7133,7235
1538554924,7137,7240
1538555524,7127,7230
1538556124,7073,7175
1538557326,7018,7121
1538557924,7059,7164
1538558523,7045,7150
1538559124,7065,7171
1538559724,7050,7158
1538560324,7094,7206
1538560924,7045,7158
1538562124,7046,7159
1538563324,6977,7087
1538563923,7031,7141
1538564525,7040,7149
1538565124,7079,7193
1538565724,7055,7169
1538566924,7085,7198
1538567524,7041,7156
1538568125,7082,7201
1538569324,7003,7124
1538569925,6958,7079
1538570524,6954,7077
1538571124,6935,7057
1538571724,6977,7100
1538572923,6930,7052
1538574126,6914,7036
1538575325,6913,7036
1538575924,6915,7038
1538576524,6918,7047
1538577124,6924,7052
1538577724,6920,7048
1538578925,6958,7098
1538580125,6941,7083
1538580724,6895,7037
1538581324,6934,7079
1538581924,6940,7085
1538582524,6873,7020
1538583125,6918,7068
1538583724,6912,7061
1538584924,6793,6940
1538585526,6779,6928
1538586125,6820,6970
1538586724,6812,6962
1538587323,6810,6961
1538587924,6809,6962
1538588524,6744,6896
1538589724,6760,6911
1538590324,6767,6918
1538590924,6819,6973
1538591524,6842,6993
1538592124,6849,6998
1538593324,6803,6950
1538593924,6730,6877
1538594524,6694,6841
1538595723,6669,6818
