DateTime,AddedIPs,RemovedIPs
1538276524,28,36
1538277124,34,83
1538277724,30,32
1538278924,39,39
1538280124,18,54
1538280725,28,58
1538281324,34,25
1538281925,50,38
1538282524,33,0
1538283724,19,31
1538284324,40,24
1538284924,26,43
1538285524,22,29
1538286124,18,0
1538286724,14,30
1538287324,37,24
1538288523,23,73
1538289123,27,0
1538289724,24,21
1538290324,33,76
1538290923,28,36
1538291524,32,41
1538292124,36,0
1538292724,33,32
1538293324,34,35
1538293924,22,0
1538294524,38,70
1538295724,35,32
1538296323,29,0
1538296924,10,20
1538298124,34,110
1538299323,35,68
1538300524,38,0
1538301123,30,22
1538301725,28,17
1538302924,24,38
1538303523,16,38
1538304124,14,0
1538305324,32,24
1538305924,36,35
1538306524,38,80
1538307124,21,0
1538307724,18,28
1538308324,30,0
1538308924,30,30
1538309525,35,25
1538310123,27,34
1538310724,30,0
1538311323,15,25
1538312525,11,23
1538313124,20,35
1538313724,27,38
1538314925,19,33
1538315525,14,0
1538316125,36,32
1538316725,21,31
1538317324,33,25
1538318524,18,0
1538319124,9,29
1538319725,26,35
1538320325,28,0
1538320924,16,30
1538321523,19,44
1538322124,21,0
1538323325,22,83
1538323924,22,0
1538324523,22,27
1538325724,22,15
1538326325,26,36
1538326925,19,0
1538327525,39,20
1538328124,38,18
1538329324,25,89
1538330525,47,16
1538331125,34,30
1538331724,36,0
1538332924,26,21
1538334123,53,56
1538335325,23,26
1538335923,35,64
1538336524,26,29
1538337725,23,38
1538338326,56,28
1538338923,16,27
1538339524,23,0
1538340123,24,21
1538340724,24,0
1538341323,34,25
1538341924,19,30
1538342523,24,37
1538343725,28,40
1538344924,15,67
1538346125,29,29
1538347324,26,32
1538347924,23,37
1538348524,27,16
1538349724,30,0
1538350324,26,30
1538350924,24,27
1538352126,19,73
1538352724,12,0
1538353324,40,72
1538354524,25,0
1538355723,29,45
1538356324,28,30
1538356924,27,0
1538358125,26,48
1538358723,25,0
1538359325,25,0
1538359925,11,59
1538360523,20,33
1538361124,23,0
1538361723,30,0
1538362324,19,69
1538362923,34,31
1538364124,21,59
1538364723,26,0
1538365324,24,0
1538365924,27,59
1538366523,28,39
1538367124,39,30
1538367724,36,29
1538368923,25,58
1538370124,28,26
1538370725,14,19
1538371325,40,0
1538371923,41,67
1538372524,27,43
1538373123,18,25
1538373724,30,14
1538374324,20,0
1538374924,40,60
1538375524,35,0
1538376124,33,0
1538377324,35,56
1538377924,26,29
1538378523,34,42
1538379724,27,23
1538380323,33,71
1538380923,21,0
1538382125,27,74
1538382724,31,43
1538383324,29,0
1538383924,27,21
1538384524,32,49
1538385124,30,0
1538385724,31,0
1538386923,23,73
1538388123,32,26
1538389324,34,67
1538389924,35,0
1538390524,44,57
1538391725,24,91
1538392324,20,0
1538392923,33,35
1538394124,36,31
1538394724,31,0
1538395324,26,28
1538395925,23,35
1538396524,26,30
1538397724,24,0
1538398324,42,26
1538398924,16,0
1538400124,34,78
1538400724,36,16
1538401324,32,47
1538402524,36,26
1538403124,39,40
1538403724,20,31
1538404323,18,73
1538404924,23,0
1538405524,29,20
1538406124,32,66
1538406726,22,36
1538407324,20,39
1538408524,21,99
1538409723,17,0
1538410325,19,36
