DateTime,AddedIPs,RemovedIPs
1538276524,80,80
1538277124,80,80
1538277724,80,80
1538278924,80,80
1538280124,80,80
1538280725,80,80
1538281324,79,79
1538281925,80,80
1538282524,80,80
1538283724,80,80
1538284324,80,80
1538284924,80,80
1538285524,80,80
1538286124,80,80
1538286724,80,80
1538287324,80,80
1538288523,80,80
1538289123,80,80
1538289724,80,80
1538290324,80,80
1538290923,80,80
1538291524,80,80
1538292124,80,80
1538292724,80,80
1538293324,79,79
1538293924,80,80
1538294524,80,80
1538295724,80,80
1538296323,80,80
1538296924,80,80
1538298124,80,80
1538299323,80,80
1538300524,80,80
1538301123,80,80
1538301725,80,80
1538302924,80,80
1538303523,80,80
1538304124,80,80
1538305324,80,80
1538305924,80,80
1538306524,80,80
1538307124,80,80
1538307724,80,80
1538308324,80,80
1538308924,79,79
1538309525,80,80
1538310123,80,80
1538310724,80,80
1538311323,80,80
1538312525,80,80
1538313124,79,79
1538313724,80,80
1538314925,80,80
1538315525,79,79
1538316125,80,80
1538316725,78,78
1538317324,80,80
1538318524,80,80
1538319124,80,80
1538319725,80,80
1538320325,80,80
1538320924,80,80
1538321523,80,80
1538322124,80,80
1538323325,80,80
1538323924,80,80
1538324523,79,79
1538325724,80,80
1538326325,80,80
1538326925,80,80
1538327525,80,80
1538328124,80,80
1538329324,80,80
1538330525,80,80
1538331125,80,80
1538331724,80,80
1538332924,80,80
1538334123,80,80
1538335325,80,80
1538335923,80,80
1538336524,80,80
1538337725,80,80
1538338326,80,80
1538338923,80,80
1538339524,80,80
1538340123,80,80
1538340724,80,80
1538341323,80,80
1538341924,80,80
1538342523,80,80
1538343725,80,80
1538344924,80,80
1538346125,80,80
1538347324,80,80
1538347924,80,80
1538348524,80,80
1538349724,80,80
1538350324,80,80
1538350924,79,79
1538352126,80,80
1538352724,80,80
1538353324,80,80
1538354524,80,80
1538355723,80,80
1538356324,80,80
1538356924,80,80
1538358125,80,80
1538358723,80,80
1538359325,80,80
1538359925,80,80
1538360523,80,80
1538361124,80,80
1538361723,80,80
1538362324,80,80
1538362923,79,79
1538364124,80,80
1538364723,80,80
1538365324,80,80
1538365924,80,80
1538366523,80,80
1538367124,80,80
1538367724,80,80
1538368923,80,80
1538370124,80,80
1538370725,80,80
1538371325,80,80
1538371923,80,80
1538372524,80,80
1538373123,80,80
1538373724,80,80
1538374324,79,79
1538374924,80,80
1538375524,80,80
1538376124,80,80
1538377324,80,80
1538377924,80,80
1538378523,80,80
1538379724,80,80
1538380323,80,80
1538380923,79,79
1538382125,80,80
1538382724,80,80
1538383324,80,80
1538383924,80,80
1538384524,79,79
1538385124,80,80
1538385724,80,80
1538386923,80,80
1538388123,79,79
1538389324,80,80
1538389924,79,79
1538390524,80,80
1538391725,80,80
1538392324,80,80
1538392923,80,80
1538394124,80,80
1538394724,79,79
1538395324,80,80
1538395925,80,80
1538396524,79,79
1538397724,80,80
1538398324,80,80
1538398924,79,79
1538400124,80,80
1538400724,80,80
1538401324,80,80
1538402524,80,80
1538403124,80,80
1538403724,80,80
1538404323,80,80
1538404924,80,80
1538405524,80,80
1538406124,80,80
1538406726,80,80
1538407324,80,80
1538408524,80,80
1538409723,80,80
1538410325,80,80
1538410923,80,80
1538411523,80,80
1538412124,80,80
1538412726,80,80
1538413325,80,80
1538414524,80,80
1538415124,80,80
1538415724,80,80
1538416924,80,80
1538417525,80,80
1538418124,80,80
1538418724,80,80
1538419323,80,80
1538419923,80,80
1538420524,80,80
1538421125,80,80
1538421724,80,80
1538422324,80,80
1538422926,80,80
1538424123,80,80
1538424726,80,80
1538425324,80,80
1538426524,80,80
1538427124,80,80
1538427724,80,80
1538428324,79,79
1538428924,80,80
1538430125,80,80
1538430724,79,79
1538431325,79,79
1538432524,80,80
1538433125,80,80
1538433723,80,80
1538434924,80,80
1538435525,79,79
1538436123,79,79
1538436725,80,80
1538437325,80,80
1538437924,80,80
1538438526,52,52
1538439724,80,80
1538440924,80,80
1538441524,78,78
1538442124,78,78
1538442725,79,79
1538443323,80,80
1538444523,80,80
1538445724,80,80
1538446324,79,79
1538446924,80,80
1538448123,80,80
1538449324,80,80
1538449924,80,80
1538450524,80,80
1538451125,79,79
1538451723,79,79
1538452323,80,80
1538452924,80,80
1538454124,79,79
