DateTime,AddedIPs,RemovedIPs
1538242323,9,0
1538242924,22,0
1538243523,14,0
1538244124,19,0
1538245323,44,0
1538245923,5,1
1538246525,41,0
1538247124,12,0
1538247723,21,2
1538248324,3,0
1538248924,2,26
1538250123,31,39
1538250723,2,97
1538251325,8,0
1538252524,62,76
1538253123,13,51
1538253724,9,11
1538254323,8,0
1538254923,9,1
1538255523,10,1
1538256123,67,8
1538256723,17,11
1538257323,26,0
1538258523,91,49
1538259124,82,0
1538259723,71,3
1538260323,34,23
1538260924,28,0
1538262125,42,25
1538262724,19,0
1538263324,69,6
1538263923,46,0
1538264523,25,1
1538265123,18,5
1538265727,14,0
1538266923,8,57
1538268123,20,62
1538269323,47,6
1538269924,11,43
1538270524,4,41
1538271123,11,0
1538271724,4,0
1538272324,1,105
1538272924,4,26
1538274124,58,17
1538275324,78,27
1538276524,52,22
1538277124,15,0
1538277724,19,4
1538278923,36,5
1538280124,31,14
1538281323,7,34
1538282524,1,0
1538283724,13,61
1538284324,3,68
1538284924,25,29
1538286124,35,30
1538286724,45,52
1538287324,60,0
1538287924,21,34
1538288523,3,20
1538289724,8,62
1538290923,4,61
1538292124,24,42
1538292724,70,0
1538293324,23,33
1538293924,23,0
1538294524,18,58
1538295723,67,0
1538296923,55,70
1538298124,30,55
1538299323,28,5
1538300523,17,0
1538301123,2,16
1538301725,9,0
1538302923,12,30
1538303523,8,22
1538304123,10,0
1538305324,11,18
1538305924,3,14
1538306523,6,32
1538307124,11,24
1538307724,6,24
1538308924,29,5
1538309524,1,0
1538310123,2,26
1538310724,21,0
1538311323,5,0
1538312524,4,29
1538313724,16,31
1538314924,46,42
1538315524,13,0
1538316125,12,13
1538316725,21,31
1538317323,8,0
1538318524,9,37
1538319724,9,1
1538320923,6,54
1538321523,14,37
1538322124,49,6
1538322724,41,0
1538323324,46,113
1538323924,31,0
1538324523,61,60
1538325723,32,0
1538326325,85,56
1538326925,80,38
1538327524,36,0
1538328123,32,61
1538329323,32,79
1538330524,26,30
1538331724,40,63
1538332324,10,0
1538332924,7,11
1538334123,10,30
1538335324,9,42
1538335923,10,0
1538336523,6,5
1538337724,48,47
1538338326,23,0
1538338923,6,23
1538340123,36,12
1538340724,65,15
