DateTime,AddedIPs,RemovedIPs
1538242323,58,58
1538242924,35,35
1538243523,18,18
1538244124,22,22
1538245323,54,54
1538245923,38,38
1538246525,49,49
1538247124,23,23
1538247723,38,38
1538248324,4,4
1538248924,3,3
1538250123,53,53
1538250723,12,12
1538251325,15,15
1538252524,82,82
1538253123,44,44
1538253724,15,15
1538254323,8,8
1538254923,12,12
1538255523,42,42
1538256123,88,88
1538256723,25,25
1538257323,38,38
1538258523,100,100
1538259124,98,98
1538259723,94,94
1538260323,62,62
1538260924,49,49
1538262125,78,78
1538262724,25,25
1538263324,81,81
1538263923,62,62
1538264523,61,61
1538265123,34,34
1538265727,19,19
1538266923,37,37
1538268123,27,27
1538269323,88,88
1538269924,18,18
1538270524,10,10
1538271123,32,32
1538271724,23,23
1538272324,8,8
1538272924,10,10
1538274124,91,91
1538275324,99,99
1538276524,99,99
1538277124,15,15
1538277724,25,25
1538278923,64,64
1538280124,39,39
1538281323,23,23
1538281924,2,2
1538282524,7,7
1538283724,19,19
1538284324,5,5
1538284924,30,30
1538286124,42,42
1538286724,59,59
1538287324,86,86
1538287924,50,50
1538288523,17,17
1538289724,60,60
1538290323,2,2
1538290923,4,4
1538291523,3,3
1538292124,24,24
1538292724,91,91
1538293324,32,32
1538293924,31,31
1538294524,28,28
1538295723,78,78
1538296923,93,93
1538298124,42,42
1538299323,30,30
1538300523,38,38
1538301123,3,3
1538301725,18,18
1538302923,28,28
1538303523,15,15
1538304123,13,13
1538305324,15,15
1538305924,8,8
1538306523,8,8
1538307124,17,17
1538307724,9,9
1538308924,54,54
1538309524,3,3
1538310123,5,5
1538310724,34,34
1538311323,16,16
1538312524,11,11
1538313724,39,39
1538314924,58,58
1538315524,15,15
1538316125,18,18
1538316725,33,33
1538317323,11,11
1538318524,30,30
1538319724,17,17
1538320923,11,11
1538321523,17,17
1538322124,68,68
1538322724,53,53
1538323324,55,55
1538323924,41,41
1538324523,71,71
1538325723,55,55
1538326325,98,98
1538326925,83,83
1538327524,53,53
1538328123,42,42
1538329323,41,41
1538330524,33,33
1538331724,59,59
1538332324,13,13
1538332924,32,32
1538334123,15,15
1538335324,16,16
1538335923,12,12
1538336523,6,6
1538337724,93,93
1538338326,36,36
1538338923,7,7
1538340123,47,47
1538340724,78,78
1538341323,26,26
1538341923,47,47
1538342523,73,73
1538343724,98,98
1538344923,61,61
1538346124,93,93
1538347323,67,67
1538347924,34,34
1538348523,85,85
1538349724,48,48
1538350924,24,24
1538352126,43,43
1538352724,78,78
1538353323,65,65
1538353923,29,29
1538354524,20,20
1538355723,50,50
1538356323,31,31
1538356924,57,57
1538357524,50,50
1538358124,43,43
1538359325,63,63
1538359925,69,69
1538360523,21,21
1538361124,13,13
1538361723,3,3
1538362923,82,82
1538364124,25,25
1538365323,17,17
1538366523,5,5
1538367124,4,4
1538367724,3,3
1538368923,26,26
1538370124,7,7
1538370725,19,19
1538371325,27,27
1538371923,20,20
1538372524,9,9
1538373123,11,11
1538373724,26,26
1538374924,95,95
1538375524,35,35
1538376124,64,64
1538377323,82,82
1538377923,22,22
1538378523,33,33
1538379724,49,49
1538380323,17,17
1538380923,33,33
1538382125,42,42
1538382724,92,92
1538383324,21,21
1538384524,35,35
1538385124,7,7
1538385724,2,2
1538386923,12,12
1538388123,55,55
1538389324,56,56
1538389924,15,15
1538390524,17,17
1538391725,2,2
1538392323,3,3
1538394123,6,6
1538394724,5,5
1538395324,27,27
1538395925,6,6
1538396524,17,17
1538397724,6,6
1538398324,9,9
1538398924,8,8
1538400124,13,13
1538400723,27,27
1538401324,36,36
1538402524,24,24
1538403124,14,14
1538403723,13,13
1538404923,48,48
1538405523,16,16
1538406123,21,21
1538407324,69,69
1538408524,93,93
1538409723,34,34
1538410325,48,48
1538410923,19,19
1538412124,90,90
1538412725,64,64
1538413324,97,97
1538414524,81,81
1538415124,63,63
1538415724,49,49
1538416324,14,14
1538416923,15,15
1538417524,59,59
1538418124,25,25
1538418724,16,16
1538419323,11,11
1538419923,13,13
1538420524,8,8
1538421723,56,56
1538422323,10,10
1538422925,10,10
1538423525,58,58
1538424725,24,24
1538425324,84,84
1538426524,69,69
1538427124,58,58
1538427723,93,93
1538428924,89,89
1538430124,33,33
1538430724,33,33
1538431324,11,11
1538432524,24,24
1538433124,20,20
1538433723,12,12
1538434323,21,21
1538434924,54,54
1538435525,19,19
1538436123,16,16
1538437325,100,100
1538437924,94,94
1538438526,40,40
1538439724,42,42
1538440923,80,80
1538442124,43,43
1538442725,43,43
1538443924,95,95
1538444523,50,50
1538445724,94,94
1538446324,65,65
1538446924,52,52
1538448123,92,92
1538449324,31,31
1538449924,34,34
1538450524,20,20
1538451124,38,38
1538451723,78,78
1538452323,77,77
1538452924,12,12
1538454124,39,39
1538455324,84,84
1538456524,18,18
1538457724,66,66
1538458924,68,68
1538460123,34,34
1538460724,99,99
1538461323,89,89
1538462524,86,86
1538463123,25,25
1538463724,6,6
1538464923,48,48
1538465524,32,32
1538466123,19,19
1538467323,83,83
1538468525,100,100
1538469124,76,76
1538469724,61,61
1538470924,100,100
1538471524,45,45
1538472124,9,9
1538473323,60,60
1538473923,10,10
1538474524,13,13
1538475723,74,74
1538476324,9,9
1538476924,11,11
1538478124,25,25
1538479323,22,22
1538480523,14,14
1538481724,67,67
1538482324,10,10
1538482923,11,11
1538484123,25,25
1538484723,12,12
1538485324,13,13
1538485924,18,18
1538486523,6,6
1538487723,35,35
1538488925,13,13
1538489524,53,53
1538490124,1,1
1538491324,51,51
1538492525,60,60
1538493724,39,39
1538494924,28,28
1538496124,45,45
1538496724,62,62
1538498523,100,100
1538499124,48,48
1538499725,70,70
1538500325,29,29
1538500924,65,65
1538501524,33,33
1538502124,57,57
1538502724,21,21
1538503325,23,23
1538503924,56,56
1538504523,22,22
1538505724,13,13
1538506323,7,7
1538506925,8,8
1538508124,11,11
1538508724,3,3
1538509323,24,24
1538510524,54,54
1538511124,12,12
1538511726,60,60
1538512925,63,63
1538513524,7,7
1538514123,98,98
1538514724,42,42
1538515323,26,26
1538516524,100,100
1538517124,57,57
1538517724,83,83
1538518324,41,41
1538518923,87,87
1538520124,100,100
1538521323,76,76
1538521925,15,15
1538522524,14,14
1538523724,100,100
1538524324,13,13
1538524926,39,39
1538526123,100,100
1538527323,87,87
1538528523,46,46
1538529124,32,32
1538529724,9,9
1538530923,21,21
1538531523,51,51
1538532123,9,9
1538533324,77,77
1538534524,100,100
1538535723,93,93
1538536923,98,98
1538537523,14,14
1538538124,5,5
1538538723,5,5
1538539323,26,26
1538540523,15,15
1538541723,62,62
1538542323,29,29
1538542924,19,19
1538544123,65,65
1538544723,31,31
1538545328,19,19
1538545926,40,40
1538546524,56,56
1538547724,46,46
1538548323,22,22
1538548924,12,12
1538550123,25,25
1538550725,6,6
1538551323,10,10
1538552523,36,36
1538553123,70,70
1538553724,20,20
1538554924,87,87
1538555523,77,77
1538556124,78,78
1538557325,78,78
1538557923,83,83
1538558523,90,90
1538559724,64,64
1538560324,81,81
1538560924,20,20
1538561524,35,35
1538562124,33,33
1538563324,48,48
1538564524,12,12
1538565124,13,13
1538565724,13,13
1538566323,15,15
1538566924,21,21
1538567524,10,10
1538568724,5,5
1538569324,5,5
1538570524,15,15
1538571124,10,10
1538572923,26,26
1538574125,55,55
1538575325,20,20
1538575924,3,3
1538576524,6,6
1538577723,1,1
1538578924,2,2
1538579524,20,20
1538580125,1,1
1538580724,2,2
1538581324,45,45
1538582524,75,75
1538583124,66,66
1538583723,47,47
1538584324,59,59
1538584924,56,56
1538585525,90,90
1538586125,37,37
1538587323,97,97
1538588524,64,64
1538589123,3,3
1538589724,10,10
1538590324,16,16
1538590924,24,24
1538592124,40,40
1538593324,79,79
1538593924,33,33
1538594524,52,52
1538595723,59,59
1538596924,27,27
1538598125,40,40
1538598724,10,10
1538599324,3,3
1538600524,32,32
1538601125,100,100
1538601723,78,78
1538602923,92,92
1538603523,72,72
1538604124,82,82
1538605324,91,91
1538606523,92,92
1538607724,94,94
1538608324,75,75
1538608924,86,86
1538609523,82,82
1538610124,98,98
1538610724,66,66
1538611326,66,66
1538612524,84,84
1538613123,41,41
1538613724,38,38
1538614324,16,16
1538614924,16,16
1538615524,26,26
1538616124,17,17
1538616723,40,40
1538617323,20,20
1538618524,21,21
1538619124,4,4
1538619724,92,92
1538620323,60,60
1538620923,58,58
1538622124,99,99
1538623323,88,88
1538624523,59,59
1538625724,21,21
1538626325,14,14
1538626924,3,3
1538628125,12,12
1538628725,15,15
1538629324,4,4
1538629924,5,5
1538630523,21,21
1538631725,22,22
1538632323,6,6
1538632923,4,4
1538633526,39,39
1538634124,19,19
1538635324,25,25
1538635924,8,8
1538636524,2,2
1538637723,98,98
1538638323,60,60
1538638924,79,79
1538640123,94,94
1538640724,57,57
1538641324,62,62
1538642524,98,98
1538643724,82,82
1538644925,100,100
1538645525,83,83
1538646124,72,72
1538647323,100,100
1538647924,22,22
1538648523,33,33
