DateTime,AddedIPs,RemovedIPs
1536849902,140,0
1536853502,142,0
1536857102,110,0
1536860702,106,0
1536864302,107,0
1536867902,118,0
1536871502,123,0
1536875102,150,0
1536879602,199,0
1536883202,174,4484
1536886802,489,0
1536890402,441,0
1536894002,243,0
1536897602,217,0
1536901202,246,0
1536904802,226,0
1536908402,233,0
1536912002,234,0
1536915602,267,0
1536919202,231,0
1536922802,183,0
1536926402,227,0
1536930002,174,0
1536933602,207,0
1536937202,192,0
1536940802,196,0
1536944402,181,0
1536948002,196,0
1536951602,181,0
1536955202,172,0
1536958802,167,0
1536962402,156,0
1536966002,157,0
1536969602,134,3742
1536973202,302,0
1536976802,297,0
1536980402,136,0
1536984002,163,0
1536987602,181,0
1536991202,160,0
1536994802,154,0
1536998402,286,0
1537002002,214,0
1537005602,172,0
1537009202,195,0
1537012803,198,0
1537016402,187,0
1537020002,175,0
1537023602,233,0
1537027202,282,0
1537030803,152,0
1537034402,143,0
1537038002,249,0
1537041602,164,0
1537045202,164,0
1537048802,157,0
1537052402,163,0
1537056002,140,5114
1537059602,173,0
1537063202,195,0
1537066802,165,0
1537070402,156,0
1537074002,147,0
1537077602,144,0
1537081202,135,0
1537084802,136,0
1537088402,138,0
1537092002,142,0
1537095602,136,0
1537099202,171,0
1537102802,167,0
1537106402,149,0
1537110002,490,0
1537113602,162,0
1537117201,160,0
1537120803,366,0
1537124402,168,0
1537128002,186,0
1537131603,203,0
1537135202,220,0
1537138802,154,0
1537142402,161,4622
1537146002,188,0
1537149602,174,0
1537153202,391,0
1537156802,155,0
1537160402,190,0
1537164002,189,0
1537167602,220,0
1537171202,262,0
1537174802,216,0
1537178402,217,0
1537182002,188,0
1537185602,202,0
1537189202,171,0
1537192802,161,0
1537196402,135,0
1537200002,166,0
1537203603,238,0
1537207202,152,0
1537210802,178,0
1537214403,179,0
1537218003,157,0
1537221602,234,0
1537225203,162,0
1537228802,134,4404
1537232402,153,0
1537236002,192,0
1537239602,173,0
1537243201,179,0
1537246802,156,0
1537250402,200,0
1537254002,180,0
1537257602,255,0
1537261202,196,1
1537264802,203,0
1537268402,226,0
1537272002,192,0
1537275602,182,0
1537279202,301,0
1537282802,167,0
1537286402,231,0
1537290001,168,0
1537293602,168,0
1537297202,291,1
1537300803,317,0
1537304402,313,0
1537308002,169,0
1537311602,170,0
1537315202,161,4668
1537318803,177,0
1537322402,179,0
1537326002,222,0
1537329602,505,0
1537333202,175,0
1537336802,205,0
1537340402,199,0
1537344002,208,0
1537347602,244,0
1537351202,353,0
1537354802,197,0
1537358402,221,0
1537362003,238,0
1537365602,194,0
1537369202,150,0
1537372802,169,0
1537376402,147,0
1537380002,163,0
1537383603,135,0
1537387202,139,0
1537390802,267,0
1537394403,154,1
1537398003,149,0
1537401602,254,4949
1537405202,349,0
1537408802,224,0
1537412402,163,0
1537416002,145,0
1537419602,232,0
1537423202,211,0
1537426802,330,0
1537430402,260,0
1537434002,331,0
