DateTime,AddedIPs,RemovedIPs
1535725271,2,6
1535729757,2,0
1535730674,2,0
1535731565,1,0
1535732456,6,7
1535739664,5,2
1535745959,0,1
1535746863,7,5
1535752254,0,1
1535753164,0,1
1535754071,5,6
1535759479,1,0
1535761265,6,3
1535763963,1,0
1535768463,13,6
1535775664,6,4
1535782860,6,3
1535790058,2,5
1535797264,5,4
1535804464,8,0
1535811668,5,5
1535818865,4,1
1535826065,5,3
1535833262,2,3
1535840463,1,3
1535847681,6,6
1535854865,5,3
1535862060,2,3
1535862971,0,1
1535869265,1,10
1535876479,2,2
1535883668,4,4
1535886521,1,0
1535887411,1,0
1535889994,1,0
1535890863,1,2
1535891764,1,0
1535898079,4,5
1535903479,1,0
1535905269,4,3
1535912459,5,4
1535915157,1,0
1535916961,1,0
1535918756,1,0
1535919663,3,1
1535921467,1,0
1535926857,0,4
1535928672,0,1
1535934060,0,6
1535941255,5,6
1535948464,4,7
1535955661,5,3
1535961958,0,1
1535962871,2,4
1535963766,0,1
1535970058,6,2
1535977258,5,3
1535984468,3,9
1535991672,4,4
1535996158,0,1
1535998874,9,0
1536006059,1,1
1536006956,0,1
1536013261,2,3
1536020462,2,2
1536027657,0,4
1536034862,6,1
1536042057,4,4
1536049269,4,6
1536051074,0,1
1536056456,5,2
1536063666,2,3
1536070879,4,1
1536078068,4,4
1536084368,0,1
1536085261,4,1
1536087065,1,0
1536088867,0,1
1536091552,1,0
1536092465,0,1
1536094260,1,1
1536097865,0,1
1536099658,0,3
1536106861,4,5
1536114061,4,2
1536121264,5,8
1536128459,5,1
1536135660,5,1
1536142858,2,3
1536146473,1,1
1536150065,2,1
1536150969,0,1
1536157264,2,3
1536163552,1,0
1536164456,5,11
1536168965,1,0
1536171674,6,2
1536178858,7,2
1536186065,1,1
1536193266,3,1
1536199552,1,0
1536200468,5,6
1536207667,6,7
1536212163,1,0
1536214872,4,4
1536222072,3,1
1536222968,0,1
1536229268,1,6
1536231073,1,0
1536236468,5,2
1536237355,1,0
1536241873,1,0
1536243684,3,7
1536250861,6,6
1536258058,5,2
1536265270,4,0
1536272454,0,4
1536275166,0,1
1536279680,2,4
1536285077,0,1
1536286878,2,5
1536287778,0,1
1536294065,10,4
1536297657,0,1
1536301266,2,1
1536308466,3,5
1536315662,3,4
1536319271,1,0
1536322866,6,2
1536324667,1,0
1536325568,1,0
1536330063,2,1
1536337259,4,4
1536339957,0,1
1536340857,0,1
1536344460,7,7
1536351664,6,3
1536354371,1,0
1536358862,2,2
1536360663,0,1
1536363358,0,1
1536366067,1,4
1536373262,5,7
1536375969,1,0
1536380450,2,7
1536381361,1,0
1536387656,5,3
1536393972,0,1
1536394865,2,3
1536395775,1,0
1536401159,1,0
1536402058,1,6
1536404879,1,0
1536409374,4,3
1536411970,1,0
1536416474,3,7
1536423667,3,4
1536429970,0,1
1536430864,4,2
1536438070,5,4
1536445268,4,4
1536452463,2,2
1536457864,1,0
1536459666,4,12
1536466872,4,3
1536470461,1,0
1536474069,1,4
1536477668,1,0
1536481264,2,1
1536482174,0,1
1536483066,1,1
1536488471,4,4
1536490313,0,1
1536495657,4,2
1536502868,1,4
1536510077,11,7
1536513665,1,0
1536517263,3,3
1536524469,5,3
1536531665,1,2
1536532556,0,1
1536538861,4,2
1536542463,1,0
1536546081,1,6
1536553270,5,7
1536557757,1,1
1536560460,3,5
1536561378,1,0
1536563159,0,1
1536564064,1,1
1536567659,3,8
1536574861,2,4
1536576664,1,0
1536578600,1,1
1536581242,1,0
1536582068,2,3
1536589280,4,6
1536596458,8,4
1536603666,9,4
1536610862,3,3
1536618065,5,1
1536625281,2,5
1536627983,0,1
1536628880,0,1
1536632473,1,4
1536634286,0,1
1536639671,25,3
1536644162,1,1
1536646870,5,2
1536654079,0,3
1536654966,1,0
1536656764,0,1
1536661264,2,1
1536666667,1,0
1536668462,4,2
1536672958,1,0
1536675662,1,4
1536677462,1,0
1536682864,5,2
1536690066,4,3
1536697260,2,4
1536698169,0,1
1536699069,0,1
1536704460,4,3
1536711681,3,1
1536718879,1,6
1536724263,0,1
1536726069,5,5
1536733268,4,1
1536735074,0,1
1536737777,1,0
1536738683,0,1
1536740478,4,5
1536744074,0,1
1536747665,1,4
1536754876,2,2
1536762072,3,6
1536762973,1,0
1536769268,6,4
1536776471,3,2
1536780975,1,0
1536782763,1,0
1536783668,3,5
1536790874,2,3
1536798074,2,1
1536805272,1,7
1536807075,1,0
1536807970,0,1
1536813388,9,3
1536817887,0,1
1536819684,2,4
1536826883,0,4
1536834065,3,1
1536834957,0,1
1536836784,0,1
1536838581,0,1
1536839476,0,1
1536841263,5,3
1536843977,1,0
1536846676,0,1
1536848484,5,9
1536855686,5,8
1536856582,1,0
1536861971,0,1
1536862866,3,1
1536866485,0,1
1536869170,3,0
1536870063,0,3
1536877262,1,3
1536881770,0,1
1536882665,0,1
1536883580,0,1
1536884465,4,1
1536890764,1,0
1536891672,1,8
1536898870,4,4
1536906090,7,4
1536913271,1,5
1536920468,1,4
1536925072,0,1
1536927667,2,7
1536928558,0,1
1536934876,7,1
1536938470,0,1
1536940276,0,1
1536942080,8,6
1536949277,5,3
1536951973,0,1
1536955563,0,1
1536956468,3,3
1536963676,5,1
1536966380,0,1
1536968167,0,1
1536969070,0,1
1536970877,1,3
1536971761,0,1
1536978068,3,6
1536981674,1,0
1536985281,3,2
1536990658,0,1
1536992463,2,3
1536998773,1,0
1536999660,4,6
1537006871,4,4
1537010489,0,1
1537014067,6,4
1537021269,3,6
1537027577,1,0
1537028481,1,0
1537032068,0,2
1537033872,0,2
1537035681,2,4
1537042877,3,1
1537050071,1,4
1537054559,0,1
1537056367,0,2
1537057277,3,0
1537059077,0,1
1537059976,0,1
1537060872,0,1
1537063571,0,1
1537064469,1,3
1537067166,0,1
1537071666,3,5
1537072574,0,1
1537077964,0,2
1537078869,6,3
1537081560,1,0
1537086064,3,2
1537087864,0,1
1537093273,1,2
1537100471,2,5
1537107673,2,3
1537110395,1,0
1537112167,0,1
1537114867,3,1
1537122065,2,4
1537122973,0,1
1537126572,0,1
1537129278,7,5
1537136464,2,3
1537140072,0,1
1537143669,2,1
1537146370,0,1
1537147265,0,1
1537150872,2,4
1537158067,3,4
1537159878,0,1
1537161664,0,1
1537165271,3,3
1537167069,0,1
1537172459,4,4
1537179669,4,2
1537181529,0,1
1537186869,2,4
1537194059,3,2
1537200366,0,1
1537201261,4,3
1537208458,3,3
1537210272,0,1
1537215668,4,1
1537219259,0,1
1537222865,2,3
1537230972,1,3
1537237259,4,3
1537244459,2,5
1537248069,1,0
1537251670,5,4
1537258870,1,4
1537266069,2,2
1537273257,4,2
1537274162,0,1
1537280475,2,3
1537282271,0,1
1537287654,6,1
1537294871,3,3
1537302061,3,3
1537305662,0,1
1537308361,1,0
1537309261,1,1
1537316467,1,3
1537323665,4,2
1537330868,5,5
1537334476,1,0
1537338063,1,4
1537344370,0,1
1537345274,5,3
1537352466,0,2
1537353365,0,1
1537356978,1,0
1537357885,2,0
1537359675,3,2
1537366868,3,3
1537374069,5,1
1537376767,0,1
1537381270,6,1
1537388464,4,1
1537393875,0,1
1537395671,9,2
1537401967,0,1
1537402874,6,4
1537410064,7,6
1537417269,6,7
1537424467,3,4
1537431658,0,3
1537437057,0,1
1537437967,0,1
1537438870,10,3
1537439766,0,1
1537446071,6,4
1537447858,0,1
1537449663,1,0
1537453263,1,4
1537460466,15,4
1537468569,4,3
1537473965,0,1
1537474860,3,4
1537482064,4,3
1537489267,1,9
1537496459,4,4
1537503658,3,4
1537510863,4,7
1537518056,4,1
1537525261,3,9
1537527975,0,1
1537528876,0,1
1537529763,1,0
1537531563,0,1
1537532460,3,1
1537539659,1,9
1537546856,5,4
1537554059,5,3
1537561264,2,2
1537568460,2,2
1537575667,1,2
1537580162,0,1
1537582850,2,8
1537583759,0,1
1537590061,6,4
1537597257,3,2
1537602660,1,0
1537603565,1,0
1537605359,1,0
1537611662,3,4
1537615395,3,0
1537618867,15,4
1537619758,0,1
1537626060,2,3
1537633261,5,1
1537640468,6,4
1537647656,3,1
1537654847,2,12
1537662053,3,7
1537669263,2,2
1537672859,1,0
1537676463,3,6
1537680057,1,0
1537683653,1,6
1537690856,3,4
1537696259,0,1
1537698056,4,4
1537700763,0,1
1537702563,0,1
1537705254,7,2
1537706162,1,0
1537712453,1,5
1537720554,2,3
1537726863,16,2
1537734049,2,2
1537740369,0,1
1537741263,5,0
1537742155,0,1
1537748456,3,2
1537755654,2,7
1537762859,5,3
1537770057,4,1
1537777251,4,1
1537780854,0,1
1537784453,2,6
1537791660,1,4
1537798853,5,3
1537806065,0,2
1537813256,0,2
1537815954,0,1
1537820460,0,3
1537826754,0,1
