DateTime,AddedIPs,RemovedIPs
1536534212,1,3
1536537749,2,0
1536545008,1,5
1536548609,1,0
1536552148,3,3
1536555808,1,3
1536559408,2,1
1536563008,1,0
1536573811,2,2
1536580950,0,1
1536588149,3,0
1536591749,5,3
1536595409,2,6
1536598950,2,4
1536602549,2,0
1536606209,1,0
1536609749,2,2
1536613351,2,1
1536617012,2,0
1536620550,1,0
1536631349,1,3
1536634950,16,0
1536638610,9,1
1536642149,3,4
1536645749,2,1
1536649351,0,3
1536656550,1,0
1536660150,0,1
1536663810,0,5
1536667410,3,1
1536671011,1,1
1536678213,3,3
1536681810,1,4
1536685350,0,4
1536689012,4,0
1536692551,1,2
1536696211,1,0
1536703350,3,1
1536707011,1,1
1536710551,1,1
1536714150,0,3
1536717755,1,1
1536721350,3,3
1536725011,1,3
1536728550,2,1
1536732210,1,0
1536735750,1,1
1536739351,2,0
1536743011,1,3
1536750151,0,3
1536757353,1,1
1536760952,2,0
1536764551,1,1
1536768211,3,0
1536771751,1,2
1536775352,2,0
1536779012,1,3
1536782611,1,3
1536786214,2,0
1536789811,0,1
1536793351,0,3
1536797012,1,0
1536800552,1,3
1536807813,5,6
1536811411,3,0
1536815011,2,5
1536822153,0,2
1536825812,0,1
1536829411,0,1
1536833012,1,2
1536836554,3,0
1536840214,1,1
1536843752,2,4
1536847413,3,2
1536851012,4,0
1536854613,1,4
1536858213,1,0
1536861813,1,2
1536869013,0,1
1536872613,1,3
1536879816,1,1
1536883413,2,4
1536890553,1,0
1536894214,1,10
1536897813,2,0
1536901414,5,3
1536903333,1,0
1536904952,0,2
1536919352,1,1
1536923012,0,3
1536926614,1,1
1536930153,2,0
1536933813,4,0
1536937413,2,4
1536941015,4,0
1536944553,4,1
1536948155,2,5
1536951756,1,0
1536955354,2,4
1536959016,1,0
1536962614,2,1
1536969753,1,1
1536973354,0,2
1536976955,3,0
1536980613,3,5
1536991414,2,4
1536995016,4,0
1536998553,0,2
1537002214,2,4
1537005821,1,0
1537009414,1,0
1537013013,3,1
1537016559,2,3
1537020154,1,0
1537023820,0,5
1537027361,1,0
1537030955,0,3
1537034618,1,3
1537038157,1,0
1537041757,2,3
1537048963,1,1
1537052561,2,0
1537056158,1,3
1537063358,1,4
1537066962,2,0
1537070618,1,3
1537074156,2,0
1537077764,2,2
1537081418,1,0
1537084955,2,0
1537092162,1,2
1537095822,1,2
1537103016,1,1
1537110155,2,3
1537113756,1,0
1537117355,2,2
1537124616,3,3
1537128155,2,0
1537131756,2,2
1537138958,0,3
1537142555,1,0
1537146155,0,1
1537149816,2,0
1537153416,3,3
1537156955,0,5
1537164155,3,3
1537167815,3,1
1537171356,0,3
1537174957,1,0
1537178555,2,4
1537182216,1,0
1537189356,1,0
1537192956,2,4
1537196617,1,0
1537200215,2,6
1537203817,2,0
1537207416,1,2
1537210956,2,0
1537214559,1,3
1537218158,2,0
1537221816,0,2
1537225419,1,1
1537232620,1,1
1537236159,2,0
1537239756,1,6
1537243356,1,0
1537246958,3,3
1537250616,1,0
1537254162,1,4
1537261421,1,2
1537265016,1,0
1537268558,1,1
1537272156,2,2
1537275756,0,2
1537279417,1,0
1537282956,1,8
1537290163,1,6
1537293762,2,0
1537297358,1,1
1537300957,2,0
1537304557,0,3
1537308157,1,1
1537311759,1,0
1537322562,4,5
1537326219,2,0
1537329817,3,2
1537337023,1,4
1537340559,1,0
1537344224,2,0
1537347826,0,5
1537354965,2,0
1537358559,0,2
1537365759,3,2
1537369423,2,0
1537373019,3,0
1537376560,3,7
1537380159,1,0
1537383764,4,1
1537390959,1,2
1537394559,8,0
1537398458,5,0
1537401758,1,1
1537405359,4,1
1537408963,3,1
1537412618,2,4
1537416222,3,4
1537423358,2,0
1537426958,0,1
1537430562,0,1
1537434160,9,3
1537437761,1,3
1537441419,1,3
1537444958,3,0
1537452161,0,8
1537455759,2,2
1537459362,10,0
