DateTime,Entries,UniqueIPs
1536534212,1054,1132
1536537749,1056,1134
1536545008,1052,1130
1536548609,1053,1131
1536552148,1053,1131
1536555808,1051,1129
1536559408,1052,1130
1536563008,1053,1131
1536573811,1053,1131
1536580950,1052,1130
1536588149,1055,1133
1536591749,1057,1135
1536595409,1053,1131
1536598950,1051,1129
1536602549,1053,1131
1536606209,1054,1132
1536609749,1054,1132
1536613351,1055,1133
1536617012,1057,1135
1536620550,1058,1136
1536631349,1056,1134
1536634950,1068,1150
1536638610,1065,1158
1536642149,1064,1157
1536645749,1065,1158
1536649351,1062,1155
1536656550,1063,1156
1536660150,1062,1155
1536663810,1057,1150
1536667410,1059,1152
1536671011,1059,1152
1536678213,1059,1152
1536681810,1056,1149
1536685350,1052,1145
1536689012,1056,1149
1536692551,1055,1148
1536696211,1056,1149
1536703350,1058,1151
1536707011,1058,1151
1536710551,1058,1151
1536714150,1055,1148
1536717755,1055,1148
1536721350,1055,1148
1536725011,1053,1146
1536728550,1054,1147
1536732210,1055,1148
1536735750,1055,1148
1536739351,1057,1150
1536743011,1055,1148
1536750151,1052,1145
1536757353,1052,1145
1536760952,1054,1147
1536764551,1054,1147
1536768211,1057,1150
1536771751,1056,1149
1536775352,1058,1151
1536779012,1056,1149
1536782611,1054,1147
1536786214,1055,1149
1536789811,1054,1148
1536793351,1051,1145
1536797012,1052,1146
1536800552,1048,1144
1536807813,1047,1143
1536811411,1050,1146
1536815011,1047,1143
1536822153,1045,1141
1536825812,1044,1140
1536829411,1043,1139
1536833012,1042,1138
1536836554,1045,1141
1536840214,1045,1141
1536843752,1043,1139
1536847413,1044,1140
1536851012,1048,1144
1536854613,1045,1141
1536858213,1046,1142
1536861813,1045,1141
1536869013,1044,1140
1536872613,1042,1138
1536879816,1042,1138
1536883413,1040,1136
1536890553,1041,1137
1536894214,1032,1128
1536897813,1034,1130
1536901414,1036,1132
1536903333,1037,1133
1536904952,1036,1131
1536919352,1036,1131
1536923012,1033,1128
1536926614,1035,1128
1536930153,1037,1130
1536933813,1041,1134
1536937413,1039,1132
1536941015,1043,1136
1536944553,1046,1139
1536948155,1043,1136
1536951756,1044,1137
1536955354,1042,1135
1536959016,1043,1136
1536962614,1044,1137
1536969753,1044,1137
1536973354,1042,1135
1536976955,1045,1138
1536980613,1043,1136
1536991414,1041,1134
1536995016,1045,1138
1536998553,1043,1136
1537002214,1041,1134
1537005821,1042,1135
1537009414,1043,1136
1537013013,1045,1138
1537016559,1045,1137
1537020154,1046,1138
1537023820,1041,1133
1537027361,1042,1134
1537030955,1039,1131
1537034618,1037,1129
1537038157,1038,1130
1537041757,1037,1129
1537048963,1037,1129
1537052561,1039,1131
1537056158,1037,1129
1537063358,1034,1126
1537066962,1036,1128
1537070618,1034,1126
1537074156,1036,1128
1537077764,1035,1128
1537081418,1036,1129
1537084955,1037,1131
1537092162,1036,1130
1537095822,1035,1129
1537103016,1035,1129
1537110155,1034,1128
1537113756,1035,1129
1537117355,1035,1129
1537124616,1035,1129
1537128155,1037,1131
1537131756,1037,1131
1537138958,1034,1128
1537142555,1035,1129
1537146155,1034,1128
1537149816,1036,1130
1537153416,1036,1130
1537156955,1031,1125
1537164155,1031,1125
1537167815,1033,1127
1537171356,1030,1124
1537174957,1031,1125
1537178555,1029,1123
1537182216,1030,1124
1537189356,1031,1125
1537192956,1029,1123
1537196617,1030,1124
1537200215,1026,1120
1537203817,1028,1122
1537207416,1027,1121
1537210956,1029,1123
1537214559,1027,1121
1537218158,1029,1123
1537221816,1027,1121
1537225419,1027,1121
