DateTime,AddedIPs,RemovedIPs
1536678213,3,7
1536681810,1,1
1536685350,0,2
1536689012,4,9
1536692551,3,1
1536696211,2,0
1536699030,0,1
1536703350,4,3
1536707011,1,3
1536710551,2,0
1536714150,1,1
1536717755,2,1
1536721350,3,4
1536725011,2,1
1536728550,2,1
1536732210,1,3
1536735750,1,2
1536739351,2,0
1536743011,1,1
1536746554,1,4
1536753751,0,1
1536757353,1,4
1536760952,2,5
1536764551,2,1
1536768211,4,0
1536771751,1,6
1536775352,2,2
1536779012,2,2
1536782611,2,1
1536786214,3,2
1536789811,1,0
1536793351,1,0
1536797012,1,1
1536800552,1,1
1536804153,0,1
1536807813,5,7
1536811411,3,2
1536815011,4,2
1536822153,0,1
1536825812,0,1
1536829411,0,3
1536833012,2,3
1536836554,3,3
1536840214,1,2
1536843752,3,0
1536847413,3,5
1536851012,4,4
1536854613,2,3
1536858213,1,0
1536861813,1,0
1536865353,1,0
1536869013,0,4
1536872613,1,0
1536876155,0,2
1536879816,2,2
1536883413,2,2
1536890553,1,0
1536894214,1,1
1536897813,2,3
1536901414,6,3
1536903333,1,0
1536904952,0,1
1536912153,0,2
1536915754,1,0
1536919352,1,2
1536923012,0,4
1536926614,2,1
1536930153,3,3
1536933813,5,1
1536937413,2,2
1536941015,4,2
1536944553,4,1
1536948155,4,0
1536951756,1,1
1536955354,2,2
1536959016,2,3
1536962614,2,3
1536966219,0,1
1536969753,1,1
1536976955,3,2
1536980613,3,2
1536984217,0,1
1536991414,2,3
1536995016,4,3
1537002214,3,3
1537005821,1,1
1537009414,2,0
1537013013,4,1
1537016559,2,3
1537020154,1,1
1537023820,0,1
1537027361,1,0
1537030955,0,2
1537034618,1,1
1537038157,1,0
1537041757,2,2
1537045421,0,1
1537048963,1,2
1537052561,3,2
1537056158,1,1
1537059820,1,4
1537063358,2,0
1537066962,2,2
1537070618,1,1
1537074156,2,2
1537077764,2,3
1537081418,1,2
1537084955,2,2
1537092162,1,4
1537095822,1,1
1537099356,1,1
1537103016,1,2
1537110155,4,0
1537113756,1,3
1537117355,2,1
1537121016,1,0
1537124616,3,2
1537128155,3,3
1537131756,3,2
1537134695,1,1
1537135355,1,0
1537138958,0,1
1537142555,1,1
1537146155,0,1
1537149816,2,4
1537153416,5,2
1537160555,0,2
1537164155,3,3
1537167815,3,4
1537171356,1,2
1537174957,2,1
1537178555,2,4
1537182216,1,3
1537189356,1,0
1537192956,3,3
1537196617,2,2
1537200215,3,3
1537203817,2,0
1537207416,1,1
1537210956,2,1
1537214559,3,1
1537218158,2,0
1537221816,2,1
1537225419,1,0
1537228959,1,5
1537232620,1,3
1537236159,4,2
1537239756,1,3
1537243356,1,2
1537246958,3,3
1537250616,1,5
1537254162,1,1
1537257816,0,3
1537261421,1,1
1537265016,1,3
1537268558,1,0
1537272156,2,3
1537275756,0,1
1537279417,3,1
1537282956,6,1
1537286557,0,1
1537290163,1,1
1537293762,2,2
1537297358,1,1
1537300957,2,0
1537308157,1,2
1537311759,1,1
1537315419,1,2
1537319020,1,3
1537322562,4,5
1537326219,2,2
1537329817,3,3
1537333419,0,1
1537337023,1,2
1537340559,1,1
1537344224,2,5
1537347826,0,1
1537354965,2,4
1537358559,0,14
1537362225,0,6
1537365759,4,0
1537369423,2,13
1537373019,3,14
1537376560,3,1
1537380159,1,2
1537383764,4,2
1537387359,0,2
1537390959,1,0
1537394559,8,2
1537398458,5,0
1537401758,1,1
1537405359,4,0
1537408963,4,2
1537412618,20,3
1537416222,3,4
1537423358,2,3
1537426958,0,1
1537434160,9,0
1537437761,1,0
1537441419,1,4
1537444958,3,2
1537448618,2,2
1537452161,2,3
1537455759,3,1
1537459362,10,1
1537466560,2,1
1537470158,2,1
1537473819,3,3
1537477422,1,0
1537480963,1,0
1537484562,1,7
1537488220,0,3
1537491760,1,3
1537495420,1,12
1537502620,3,3
1537506161,2,2
1537509759,2,3
1537513359,3,2
1537517020,0,5
1537524163,3,2
1537527822,2,2
1537531420,1,1
1537538563,1,2
1537542222,4,4
1537549422,2,1
1537552962,3,2
1537556620,0,2
1537560222,1,0
1537563762,1,0
1537581821,2,2
1537585361,4,3
1537588961,2,2
1537590160,0,2
1537592620,0,1
1537596220,3,1
1537599764,0,1
1537607027,4,1
1537610562,0,1
1537614221,2,2
1537617821,12,3
1537621363,1,3
1537628563,1,0
1537632161,4,4
1537635767,1,0
1537639361,4,3
1537643021,4,1
1537646563,0,1
1537650163,0,1
1537653762,1,3
1537657425,0,1
1537661023,2,2
1537664561,1,0
1537671770,2,2
1537675423,1,1
1537682562,0,2
1537689763,3,3
1537696962,4,2
1537700562,2,2
1537704222,2,2
1537707762,1,0
1537714962,1,1
1537718562,2,1
1537722162,4,1
1537725767,12,3
1537729423,1,0
1537732966,1,1
1537736564,1,0
1537740162,9,0
1537747428,1,0
1537750964,1,2
1537754562,2,3
1537758163,1,2
1537761762,2,1
1537765369,1,3
1537769022,3,4
1537772623,1,8
1537776166,1,1
1537783362,2,3
1537786963,1,2
1537790624,1,3
1537794223,2,2
1537797763,4,3
1537801427,1,1
1537823333,0,5
1537824422,21,2
1537825530,5,0
1537826569,1,0
1537830170,9,3
1537833769,2,0
1537837369,1,1
1537841029,3,3
1537848169,1,2
1537851769,4,7
1537851948,0,2
1537855368,3,0
1537858971,1,0
1537862573,1,3
1537866169,2,0
1537869831,0,5
1537873372,2,1
1537876971,3,7
1537880569,0,2
1537884172,2,0
1537891431,1,2
1537895031,7,0
1537898571,6,1
1537905832,3,2
1537909370,1,1
1537912974,0,5
1537916572,1,3
1537920174,1,4
1537923772,12,1
